レース	馬番	馬名	前半3F	向正面	出自
1	1		41.3		推定
1	2		42.8		推定
1	3		41.5		推定
1	4		42.2		推定
1	5		42.6		推定
1	6		40.0		推定
1	7		41.2		推定
1	8		39.9		推定
1	9		41.3		推定
1	10		40.2		推定
1	11		40.5		推定
2	1		41.1		推定
2	2		40.0		推定
2	3		40.5		推定
2	4		40.0		推定
2	5		40.1		推定
2	6		39.6		推定
2	7		38.9		推定
2	8		39.6		推定
2	9		39.7		推定
2	10		39.9		推定
2	11		38.5		推定
2	12		41.3		推定
3	1		39.8		推定
3	2		41.2		推定
3	3		40.1		推定
3	4		40.1		推定
3	5		39.6		推定
3	6		40.2		推定
3	7		39.8		推定
3	8		39.9		推定
4	1		39.6		推定
4	2		39.1		推定
4	3		40.8		推定
4	4		40.2		推定
4	5		40.4		推定
4	6		40.3		推定
4	7		38.9		推定
4	8		39.5		推定
4	9		39.9		推定
4	10		39.1		推定
4	11		39.3		推定
6	1		39.9		実測(融合4頭)
6	2		39.0		実測(融合4頭)
6	3		39.0		実測(融合4頭)
6	4		40.2		実測
6	5		40.6		実測
6	6		39.9		実測(融合4頭)
6	7		39.9		実測(融合4頭)
6	8		39.9		実測(融合4頭)
6	9		39.0		実測(融合4頭)
6	10		39.0		実測(融合4頭)
7	1		39.8		実測(融合3頭)
7	2		41.0		実測
7	3		40.5		実測(融合4頭)
7	4		41.1		実測
7	5		40.5		実測(融合4頭)
7	6		41.6		実測
7	7		40.5		実測(融合4頭)
7	8		40.5		実測(融合4頭)
7	9		39.8		実測(融合3頭)
7	10		39.8		実測(融合3頭)
8	1		39.0		実測(融合5頭)
8	2		39.0		実測(融合5頭)
8	3		41.0		実測
8	4		39.9		実測(融合2頭)
8	5		38.7		実測
8	6		39.0		実測(融合5頭)
8	7		39.0		実測(融合5頭)
8	8		40.2		実測
8	9		39.9		実測(融合2頭)
8	10		39.0		実測(融合5頭)
9	1		39.9		実測(融合4頭)
9	2		40.5		実測
9	3		40.8		実測
9	4		39.3		実測(融合3頭)
9	5		39.3		実測(融合3頭)
9	6		41.0		実測
9	7		41.2		実測
9	8		39.9		実測(融合4頭)
9	9		39.9		実測(融合4頭)
9	10		39.9		実測(融合4頭)
9	11		39.3		実測(融合3頭)
10	1		39.9		実測
10	2		38.3		実測(融合2頭)
10	3		39.5		実測(融合3頭)
10	4		38.8		実測(融合3頭)
10	5		38.8		実測(融合3頭)
10	6		39.1		実測(融合3頭)
10	7		39.5		実測(融合3頭)
10	8		39.1		実測(融合3頭)
10	9		39.5		実測(融合3頭)
10	10		38.3		実測(融合2頭)
10	11		38.8		実測(融合3頭)
10	12		39.1		実測(融合3頭)
11	1		39.6		実測(融合4頭)
11	2		39.5		実測(融合3頭)
11	3		38.8		実測(融合3頭)
11	4		38.8		実測(融合3頭)
11	5		39.5		実測(融合3頭)
11	6		39.5		実測(融合3頭)
11	7		40.6		実測
11	8		39.6		実測(融合4頭)
11	9		39.6		実測(融合4頭)
11	10		40.9		実測
11	11		39.6		実測(融合4頭)
11	12		38.8		実測(融合3頭)
12	1		40.3		実測(融合5頭)
12	2		41.0		実測
12	3		40.0		実測(融合2頭)
12	4		40.3		実測(融合5頭)
12	5		40.3		実測(融合5頭)
12	6		41.1		実測
12	7		39.9		実測(融合2頭)
12	8		40.3		実測(融合5頭)
12	9		39.5		実測
12	10		40.3		実測(融合5頭)
12	11		39.9		実測(融合2頭)
12	12		40.0		実測(融合2頭)
