レース	馬番	馬名	前半3F	向正面	出自
1	1		38.4		推定
1	3		38.1		推定
1	4		38.5		推定
1	5		44.0		推定
2	1		38.6		推定
2	2		38.8		推定
2	3		38.9		推定
2	5		39.9		推定
3	1		40.9		実測
3	2		37.3		実測(融合6頭)
3	3		37.3		実測(融合6頭)
3	4		38.6		実測
3	5		37.3		実測(融合6頭)
3	6		37.3		実測(融合6頭)
3	7		39.0		実測
3	8		37.3		実測(融合6頭)
3	9		37.3		実測(融合6頭)
4	1		37.7		実測(融合4頭)
4	2		37.7		実測(融合4頭)
4	3		37.7		実測(融合4頭)
4	4		37.7		実測(融合4頭)
4	5		38.6		実測
4	6		37.2		実測
4	7		38.4		実測(融合3頭)
4	8		38.4		実測(融合3頭)
4	9		38.4		実測(融合3頭)
4	10		37.6		実測(融合2頭)
4	11		37.6		実測(融合2頭)
5	1		38.7		実測(融合3頭)
5	2		38.3		実測
5	3		38.7		実測(融合3頭)
5	4		39.1		実測(融合4頭)
5	5		38.7		実測(融合3頭)
5	6		39.1		実測(融合4頭)
5	7		39.1		実測(融合4頭)
5	8		39.6		実測
5	9		39.4		実測(融合3頭)
5	10		39.1		実測(融合4頭)
5	11		39.4		実測(融合3頭)
5	12		39.4		実測(融合3頭)
6	1		40.8		実測
6	2		40.6		実測(融合3頭)
6	3		40.1		実測(融合3頭)
6	4		40.1		実測(融合3頭)
6	5		40.6		実測(融合3頭)
6	6		39.7		実測(融合2頭)
6	7		39.7		実測(融合2頭)
6	8		40.6		実測(融合3頭)
6	9		40.1		実測(融合3頭)
7	1		38.7		推定
7	2		38.1		推定
7	3		37.3		推定
7	4		37.3		推定
7	5		37.5		推定
7	6		37.8		推定
7	7		38.0		推定
7	8		38.9		推定
7	9		38.8		推定
7	10		39.2		推定
7	11		37.9		推定
7	12		37.4		推定
8	1		39.8		推定
8	2		39.4		推定
8	3		39.6		推定
8	4		39.0		推定
8	5		39.0		推定
8	7		40.5		推定
8	9		40.1		推定
8	10		39.3		推定
8	11		38.9		推定
8	12		40.2		推定
9	2		39.5		推定
9	3		38.4		推定
9	4		38.8		推定
9	5		39.3		推定
9	6		38.6		推定
9	7		39.0		推定
9	8		38.5		推定
9	9		38.2		推定
10	1		38.5		推定
10	2		37.5		推定
10	3		38.3		推定
10	4		37.7		推定
10	6		38.3		推定
10	7		38.4		推定
10	8		37.6		推定
11	1		38.1		実測(融合2頭)
11	2		38.1		実測(融合2頭)
11	3		38.0		実測(融合3頭)
11	4		37.4		実測(融合2頭)
11	5		38.5		実測(融合2頭)
11	6		38.5		実測(融合2頭)
11	7		37.4		実測(融合2頭)
11	8		38.8		実測
11	9		38.0		実測(融合3頭)
11	10		38.0		実測(融合3頭)
12	1		37.4		実測(融合3頭)
12	2		37.4		実測(融合3頭)
12	3		38.2		実測(融合4頭)
12	4		38.2		実測(融合4頭)
12	5		38.2		実測(融合4頭)
12	6		38.8		実測
12	7		39.4		実測
12	8		38.3		実測(融合2頭)
12	9		39.8		実測
12	10		38.3		実測(融合2頭)
12	11		37.4		実測(融合3頭)
12	12		38.2		実測(融合4頭)
