レース	馬番	馬名	前半3F	向正面	出自
1	1		43.8		推定
1	2		42.5		推定
1	3		42.2		推定
1	4		42.2		推定
1	5		41.8		推定
1	6		42.0		推定
2	1		40.0		推定
2	2		38.5		推定
2	3		39.1		推定
2	4		40.0		推定
2	5		41.6		推定
2	6		39.8		推定
2	7		38.5		推定
3	1		40.4		推定
3	2		40.1		推定
3	3		39.9		推定
3	4		40.0		推定
3	5		40.4		推定
3	6		40.0		推定
4	1		40.6		実測
4	2		38.6		実測(融合2頭)
4	3		38.6		実測(融合2頭)
4	4		39.2		実測(融合3頭)
4	5		40.1		実測
4	6		39.2		実測(融合3頭)
4	7		41.0		実測
4	8		39.0		実測
4	9		39.2		実測(融合3頭)
5	1		39.2		実測(融合4頭)
5	2		38.3		実測(融合4頭)
5	3		38.3		実測(融合4頭)
5	4		39.2		実測(融合4頭)
5	5		39.6		実測
5	6		39.2		実測(融合4頭)
5	7		40.2		実測
5	8		39.2		実測(融合4頭)
5	9		38.3		実測(融合4頭)
5	10		38.3		実測(融合4頭)
6	1		39.0		推定
6	2		38.5		推定
6	3		39.1		推定
6	4		39.5		推定
6	5		39.5		推定
6	6		38.2		推定
6	7		41.8		推定
6	8		40.5		推定
6	9		41.1		推定
6	10		38.1		推定
6	11		40.0		推定
6	12		39.2		推定
7	1		39.5		推定
7	2		39.1		推定
7	3		40.5		推定
7	4		39.8		推定
7	5		39.5		推定
7	6		40.1		推定
7	7		38.9		推定
7	8		39.2		推定
7	9		39.8		推定
7	10		40.4		推定
7	11		39.0		推定
7	12		39.0		推定
8	1		41.5		実測(融合4頭)
8	2		41.2		実測(融合3頭)
8	3		40.6		実測
8	4		41.2		実測(融合3頭)
8	5		41.2		実測(融合3頭)
8	6		42.2		実測
8	7		41.0		実測(融合2頭)
8	8		41.5		実測(融合4頭)
8	9		41.0		実測(融合2頭)
8	10		41.5		実測(融合4頭)
8	11		41.5		実測(融合4頭)
8	12		42.0		実測
10	1		39.1		実測(融合4頭)
10	2		39.9		実測
10	3		38.6		実測(融合2頭)
10	4		39.6		実測(融合3頭)
10	5		39.6		実測(融合3頭)
10	6		39.1		実測(融合4頭)
10	7		39.1		実測(融合4頭)
10	8		39.6		実測(融合3頭)
10	9		39.1		実測(融合4頭)
10	10		38.6		実測(融合2頭)
12	1		38.5		実測(融合3頭)
12	2		38.5		実測(融合3頭)
12	3		39.3		実測(融合2頭)
12	4		39.6		実測(融合2頭)
12	5		38.5		実測(融合3頭)
12	6		39.6		実測(融合2頭)
12	7		40.1		実測
12	8		39.1		実測(融合3頭)
12	9		39.1		実測(融合3頭)
12	10		39.1		実測(融合3頭)
12	11		39.9		実測
12	12		39.3		実測(融合2頭)
