レース	馬番	馬名	前半3F	向正面	出自
1	1		42.3		実測(旧)
1	2		41.8		実測(旧)
1	3		42.2		実測(旧)
1	4		42.1		実測(旧)
1	5		42.4		実測(旧)
1	6		41.5		実測(旧)
1	7		41.4		実測(旧)
1	8		41.2		実測(旧)
2	1		39.6		実測(旧)
2	2		39.8		実測(旧)
2	3		39.2		実測(旧)
2	4		38.6		実測(旧)
2	5		39.2		実測(旧)
2	6		39.6		実測(旧)
2	7		40.5		実測(旧)
2	8		39.3		実測(旧)
2	9		39.4		実測(旧)
2	10		38.6		実測(旧)
3	1		38.7		実測(旧)
3	2		38.5		実測(旧)
3	3		39.9		実測(旧)
3	4		39.5		実測(旧)
3	5		39.0		実測(旧)
3	6		38.8		推定
3	7		38.5		実測(旧)
3	8		38.5		実測(旧)
3	9		39.0		実測(旧)
4	1		38.8		実測(旧)
4	2		39.8		実測(旧)
4	3		40.2		実測(旧)
4	4		39.0		実測(旧)
4	5		40.7		実測(旧)
4	6		39.5		実測(旧)
4	7		40.1		実測(旧)
4	8		39.5		実測(旧)
4	9		39.2		実測(旧)
4	10		39.9		実測(旧)
4	11		39.2		実測(旧)
5	1		40.9		推定
5	2		40.3		推定
5	3		39.9		推定
5	4		41.6		推定
5	5		41.7		推定
5	6		40.7		推定
5	7		40.3		推定
5	8		41.5		推定
5	9		40.6		推定
5	10		40.3		推定
5	11		40.8		推定
5	12		40.1		推定
6	1		39.8		実測(旧)
6	2		40.5		実測(旧)
6	3		39.5		実測(旧)
6	4		39.3		実測(旧)
6	5		38.8		実測(旧)
6	6		40.4		実測(旧)
6	7		39.5		実測(旧)
6	8		39.8		実測(旧)
6	9		39.7		実測(旧)
6	10		38.8		実測(旧)
7	1		40.8		実測(旧)
7	2		39.6		実測(旧)
7	3		39.9		実測(旧)
7	4		39.0		実測(旧)
7	5		39.4		実測(旧)
7	6		41.9		実測(旧)
7	7		40.2		実測(旧)
7	8		40.0		実測(旧)
7	9		39.6		実測(旧)
7	10		42.0		実測(旧)
8	1		40.4		実測(旧)
8	2		39.9		実測(旧)
8	3		40.8		実測(旧)
8	5		40.1		実測(旧)
8	6		39.9		実測(旧)
8	7		41.0		実測(旧)
8	8		40.1		実測(旧)
8	9		40.4		実測(旧)
8	10		40.8		実測(旧)
9	1		38.1		実測(旧)
9	2		40.0		実測(旧)
9	3		40.8		実測(旧)
9	5		39.1		実測(旧)
9	6		39.3		実測(旧)
9	7		39.4		実測(旧)
9	8		37.9		実測(旧)
9	9		40.0		実測(旧)
10	1		39.0		実測(旧)
10	2		38.8		実測(旧)
10	3		38.7		実測(旧)
10	4		38.3		実測(旧)
10	5		38.5		実測(旧)
10	6		39.5		実測(旧)
10	8		39.1		実測(旧)
10	9		39.4		実測(旧)
11	1		40.4		実測(旧)
11	3		38.9		実測(旧)
11	4		39.7		実測(旧)
11	5		39.2		実測(旧)
11	6		39.2		実測(旧)
11	7		38.3		実測(旧)
11	8		39.1		実測(旧)
11	9		38.9		実測(旧)
11	10		39.0		実測(旧)
12	1		38.1		実測(旧)
12	2		38.0		実測(旧)
12	3		38.9		実測(旧)
12	4		40.8		実測(旧)
12	5		40.0		実測(旧)
12	6		38.1		実測(旧)
12	7		39.8		実測(旧)
12	8		39.2		実測(旧)
12	9		38.3		実測(旧)
12	10		38.8		実測(旧)
12	11		38.5		実測(旧)
12	12		38.8		実測(旧)
