レース	馬番	馬名	前半3F	向正面	出自
1	1		40.5		推定
1	2		40.0		推定
1	3		40.2		推定
1	5		41.2		推定
1	6		39.9		推定
1	7		39.3		推定
1	8		41.9		推定
1	9		40.2		推定
2	1		41.4		推定
2	2		39.2		推定
2	3		40.1		推定
2	4		39.5		推定
2	5		39.8		推定
2	6		40.5		推定
2	7		40.0		推定
2	8		40.1		推定
2	9		40.2		推定
2	10		39.8		推定
3	1		39.2		実測(融合3頭)
3	2		39.2		実測(融合3頭)
3	3		38.6		実測(融合2頭)
3	4		39.8		実測
3	5		39.2		実測(融合3頭)
3	6		39.6		実測(融合2頭)
3	7		38.8		実測(融合3頭)
3	8		38.8		実測(融合3頭)
3	9		39.6		実測(融合2頭)
3	10		38.6		実測(融合2頭)
3	11		38.8		実測(融合3頭)
3	12		38.3		実測
4	1		38.2		実測(融合2頭)
4	2		38.4		実測(融合3頭)
4	3		38.4		実測(融合3頭)
4	4		38.8		実測(融合3頭)
4	5		38.4		実測(融合3頭)
4	6		37.7		実測(融合2頭)
4	7		38.2		実測(融合2頭)
4	8		38.8		実測(融合3頭)
4	9		38.8		実測(融合3頭)
4	10		39.0		実測
4	11		39.5		実測
4	12		37.7		実測(融合2頭)
5	1		39.8		推定
5	2		39.3		推定
5	3		39.0		推定
5	4		40.7		推定
5	5		39.7		推定
5	6		40.2		推定
5	7		39.1		推定
5	8		39.2		推定
5	9		40.1		推定
6	1		39.1		推定
6	2		39.2		推定
6	3		38.9		推定
6	4		40.3		推定
6	5		38.9		推定
6	6		40.0		推定
6	7		38.7		推定
6	8		38.5		推定
7	1		37.1		推定
7	2		38.8		推定
7	3		38.8		推定
7	4		37.5		推定
7	5		38.8		推定
7	7		38.2		推定
7	8		37.8		推定
7	9		37.4		推定
7	10		37.5		推定
7	11		38.4		推定
8	1		38.8		実測(融合3頭)
8	2		38.8		実測(融合3頭)
8	3		38.2		実測(融合2頭)
8	5		39.0		実測(融合2頭)
8	6		39.1		実測(融合2頭)
8	7		39.0		実測(融合2頭)
8	8		39.1		実測(融合2頭)
8	9		38.2		実測(融合2頭)
8	10		38.8		実測(融合3頭)
9	1		37.5		推定
9	2		39.0		推定
9	3		39.1		推定
9	4		38.8		推定
9	5		37.5		推定
9	6		37.9		推定
9	7		38.4		推定
9	8		39.0		推定
9	9		39.1		推定
9	10		37.4		推定
9	11		37.8		推定
9	12		37.6		推定
