レース	馬番	馬名	前半3F	向正面	出自
1	1		40.0		実測(融合4頭)
1	2		40.0		実測(融合4頭)
1	3		40.0		実測(融合4頭)
1	4		39.2		実測(融合2頭)
1	5		40.8		実測
1	6		39.2		実測(融合2頭)
1	7		39.7		実測(融合3頭)
1	8		41.2		実測
1	9		40.0		実測(融合4頭)
1	10		39.7		実測(融合3頭)
1	11		39.7		実測(融合3頭)
2	1		40.9		推定
2	2		40.5		推定
2	3		41.1		推定
2	4		40.2		推定
2	5		40.2		推定
2	6		40.6		推定
2	7		40.0		推定
2	8		41.1		推定
2	9		40.1		推定
2	10		40.1		推定
3	1		39.4		推定
3	2		39.5		推定
3	3		39.9		推定
3	4		39.2		推定
3	6		40.4		推定
3	7		39.4		推定
3	8		40.2		推定
3	9		39.9		推定
3	10		39.6		推定
3	11		40.5		推定
4	1		38.8		推定
4	2		38.4		推定
4	3		38.5		推定
4	4		40.0		推定
4	5		39.6		推定
4	6		38.6		推定
4	7		39.4		推定
4	8		39.0		推定
4	9		38.9		推定
5	1		41.7		実測(融合2頭)
5	2		41.3		実測(融合5頭)
5	3		42.1		実測
5	4		41.3		実測(融合5頭)
5	5		41.0		実測
5	6		41.7		実測(融合2頭)
5	7		41.3		実測(融合5頭)
5	8		41.3		実測(融合5頭)
5	9		40.6		実測
5	10		40.9		実測
5	11		41.3		実測(融合5頭)
6	1		39.6		推定
6	2		40.3		推定
6	3		40.0		推定
6	4		39.7		推定
6	5		40.9		推定
6	6		40.3		推定
6	7		40.9		推定
6	8		40.6		推定
6	9		40.4		推定
6	10		39.7		推定
6	11		40.6		推定
6	12		39.5		推定
7	1		40.9		推定
7	2		40.4		推定
7	3		40.4		推定
7	4		41.2		推定
7	5		40.1		推定
7	6		41.0		推定
7	7		41.0		推定
7	8		41.6		推定
7	9		41.0		推定
7	10		40.7		推定
7	11		40.2		推定
7	12		40.2		推定
8	1		40.3		実測(融合2頭)
8	2		40.6		実測
8	3		42.0		実測
8	4		39.3		実測(融合2頭)
8	5		39.8		実測(融合3頭)
8	6		39.8		実測(融合3頭)
8	7		42.1		実測
8	8		39.3		実測(融合2頭)
8	9		40.1		実測(融合2頭)
8	10		39.8		実測(融合3頭)
8	11		40.3		実測(融合2頭)
8	12		40.1		実測(融合2頭)
9	1		38.4		実測(融合5頭)
9	2		39.6		実測(融合6頭)
9	3		39.6		実測(融合6頭)
9	4		39.6		実測(融合6頭)
9	5		39.6		実測(融合6頭)
9	6		39.6		実測(融合6頭)
9	7		38.4		実測(融合5頭)
9	8		39.6		実測(融合6頭)
9	9		38.4		実測(融合5頭)
9	10		38.4		実測(融合5頭)
9	11		39.9		実測
9	12		38.4		実測(融合5頭)
10	1		40.0		推定
10	2		39.6		推定
10	3		39.9		推定
10	4		39.1		推定
10	5		40.1		推定
10	6		40.4		推定
10	7		40.6		推定
10	8		39.6		推定
10	9		40.5		推定
10	10		40.6		推定
10	11		40.3		推定
10	12		39.4		推定
11	1		41.1		推定
11	2		41.1		推定
11	3		40.2		推定
11	4		40.1		推定
11	5		40.2		推定
11	6		40.6		推定
11	7		40.0		推定
11	8		39.9		推定
11	9		40.1		推定
11	10		41.2		推定
11	11		40.9		推定
11	12		39.6		推定
12	1		39.0		推定
12	2		40.1		推定
12	3		39.2		推定
12	4		40.5		推定
12	5		39.8		推定
12	6		40.1		推定
12	7		39.5		推定
12	8		39.8		推定
12	9		40.0		推定
12	10		40.4		推定
12	11		39.8		推定
12	12		39.4		推定
