レース	馬番	馬名	前半3F	向正面	出自
1	1		38.9		推定
1	2		38.4		推定
1	3		39.5		推定
1	4		39.3		推定
1	5		39.0		推定
1	6		39.5		推定
1	7		38.7		推定
1	8		38.2		推定
1	9		37.6		推定
1	10		39.4		推定
1	11		39.2		推定
2	1		38.6		推定
2	2		41.0		推定
2	3		40.0		推定
2	4		40.5		推定
2	6		40.6		推定
2	7		38.9		推定
2	8		40.1		推定
2	9		40.0		推定
2	10		39.8		推定
3	1		39.8		推定
3	2		38.8		推定
3	3		39.9		推定
3	4		39.5		推定
3	5		38.3		推定
3	6		38.4		推定
3	7		39.2		推定
3	8		39.7		推定
3	9		39.7		推定
3	10		39.9		推定
3	11		38.8		推定
4	1		38.5		推定
4	2		39.2		推定
4	3		38.4		推定
4	4		37.8		推定
4	5		40.1		推定
4	6		37.9		推定
4	7		39.0		推定
4	8		39.2		推定
4	9		38.8		推定
4	10		40.5		推定
4	11		39.5		推定
5	1		38.8		推定
5	2		39.0		推定
5	3		39.2		推定
5	4		39.5		推定
5	5		39.4		推定
5	6		40.4		推定
5	7		41.2		推定
5	8		39.5		推定
5	9		38.8		推定
5	10		39.2		推定
5	11		39.2		推定
5	12		38.5		推定
6	1		39.1		実測(融合2頭)
6	2		39.1		実測(融合2頭)
6	3		39.5		実測(融合4頭)
6	4		40.9		実測
6	5		39.5		実測(融合4頭)
6	6		39.5		実測(融合4頭)
6	7		40.6		実測
6	8		39.5		実測(融合4頭)
6	9		41.4		実測
7	1		38.8		推定
7	2		39.4		推定
7	3		39.0		推定
7	4		38.9		推定
7	5		39.2		推定
7	6		39.5		推定
7	7		38.5		推定
7	8		39.2		推定
7	9		38.6		推定
7	10		38.6		推定
8	1		38.9		推定
8	2		38.8		推定
8	3		40.1		推定
8	4		39.9		推定
8	5		38.5		推定
8	6		39.2		推定
8	7		38.5		推定
8	8		39.8		推定
8	9		39.4		推定
9	1		39.4		推定
9	2		38.9		推定
9	3		39.1		推定
9	4		39.4		推定
9	5		39.3		推定
9	6		39.4		推定
9	7		40.3		推定
9	8		38.7		推定
9	10		39.9		推定
9	11		39.2		推定
9	12		39.9		推定
10	1		39.1		推定
10	2		40.8		推定
10	3		40.6		推定
10	4		40.3		推定
10	5		39.6		推定
10	7		39.8		推定
10	8		40.1		推定
10	9		40.0		推定
10	10		40.7		推定
10	11		39.6		推定
10	12		39.2		推定
11	1		39.8		推定
11	2		39.2		推定
11	3		38.9		推定
11	4		39.6		推定
11	5		37.4		推定
11	6		39.3		推定
11	7		38.7		推定
11	8		39.6		推定
11	9		39.5		推定
11	10		39.2		推定
11	11		39.3		推定
11	12		38.5		推定
