レース	馬番	馬名	前半3F	向正面	出自
1	1		42.9		実測(融合3頭)
1	2		44.5		実測
1	3		42.4		実測(融合2頭)
1	4		43.4		実測(融合2頭)
1	5		42.4		実測(融合2頭)
1	6		43.4		実測(融合2頭)
1	7		42.9		実測(融合3頭)
1	8		42.9		実測(融合3頭)
2	1		40.4		実測
2	2		41.2		実測(融合3頭)
2	3		41.0		実測(融合3頭)
2	4		41.2		実測(融合3頭)
2	5		41.5		実測
2	6		41.0		実測(融合3頭)
2	7		41.2		実測(融合3頭)
2	8		41.0		実測(融合3頭)
3	1		38.5		実測(融合3頭)
3	2		38.5		実測(融合3頭)
3	3		40.7		実測
3	4		39.5		実測
3	5		38.5		実測(融合3頭)
3	6		40.1		実測
4	1		38.5		実測(融合2頭)
4	2		38.1		実測
4	3		39.3		実測(融合5頭)
4	4		39.3		実測(融合5頭)
4	5		39.3		実測(融合5頭)
4	6		41.1		実測
4	7		39.3		実測(融合5頭)
4	8		39.3		実測(融合5頭)
4	9		38.5		実測(融合2頭)
5	1		42.2		実測(融合2頭)
5	2		41.4		実測(融合4頭)
5	3		41.7		実測
5	4		40.4		実測(融合2頭)
5	6		41.4		実測(融合4頭)
5	7		41.4		実測(融合4頭)
5	8		40.4		実測(融合2頭)
5	9		41.4		実測(融合4頭)
5	10		42.2		実測(融合2頭)
5	11		42.5		実測
6	1		39.5		実測(融合2頭)
6	2		39.1		実測
6	3		39.8		実測(融合4頭)
6	4		39.8		実測(融合4頭)
6	5		40.1		実測(融合3頭)
6	6		40.1		実測(融合3頭)
6	7		39.5		実測(融合2頭)
6	8		39.9		実測
6	9		39.8		実測(融合4頭)
6	10		39.8		実測(融合4頭)
6	11		40.1		実測(融合3頭)
7	1		41.5		実測
7	2		41.9		実測(融合3頭)
7	3		41.9		実測(融合3頭)
7	4		41.2		実測
7	5		41.4		実測
7	6		40.9		実測(融合2頭)
7	7		41.9		実測(融合3頭)
7	8		40.9		実測(融合2頭)
7	9		42.4		実測
8	1		40.5		実測(融合2頭)
8	2		40.4		実測(融合4頭)
8	3		42.2		実測
8	4		40.4		実測(融合4頭)
8	5		40.5		実測(融合2頭)
8	6		38.5		実測
8	7		40.4		実測(融合4頭)
8	8		40.4		実測(融合4頭)
9	1		42.6		実測(融合5頭)
9	2		41.5		実測
9	3		42.6		実測(融合5頭)
9	4		43.0		実測
9	5		41.1		実測
9	6		41.7		実測(融合3頭)
9	7		41.7		実測(融合3頭)
9	8		42.6		実測(融合5頭)
9	9		42.6		実測(融合5頭)
9	10		41.7		実測(融合3頭)
9	11		42.6		実測(融合5頭)
10	1		39.7		実測(融合4頭)
10	2		39.5		実測(融合2頭)
10	3		39.7		実測(融合4頭)
10	4		39.5		実測(融合2頭)
10	5		39.7		実測(融合4頭)
10	6		40.1		実測
10	7		39.7		実測(融合4頭)
10	8		39.1		実測
11	1		40.3		実測(融合6頭)
11	2		40.3		実測(融合6頭)
11	3		41.4		実測
11	4		39.5		実測(融合2頭)
11	5		40.3		実測(融合6頭)
11	6		40.0		実測(融合3頭)
11	7		40.3		実測(融合6頭)
11	8		39.5		実測(融合2頭)
11	9		40.3		実測(融合6頭)
11	10		40.0		実測(融合3頭)
11	11		40.3		実測(融合6頭)
11	12		40.0		実測(融合3頭)
