レース	馬番	馬名	前半3F	向正面	出自
1	1		41.0		推定
1	2		39.6		推定
1	3		41.6		推定
1	4		41.0		推定
1	5		40.0		推定
1	6		41.0		推定
1	7		40.0		推定
1	8		40.4		推定
1	9		39.8		推定
1	10		40.0		推定
2	1		41.2		実測
2	3		40.6		実測
2	4		40.3		実測(融合4頭)
2	5		40.3		実測(融合4頭)
2	6		39.6		実測(融合3頭)
2	7		39.6		実測(融合3頭)
2	8		40.3		実測(融合4頭)
2	9		40.3		実測(融合4頭)
2	10		39.6		実測(融合3頭)
3	1		40.5		実測(融合4頭)
3	2		41.1		実測(融合2頭)
3	3		40.5		実測(融合4頭)
3	4		40.2		実測
3	5		40.5		実測(融合4頭)
3	6		40.5		実測(融合4頭)
3	7		41.3		実測
3	8		41.1		実測(融合2頭)
5	1		38.2		実測(融合2頭)
5	2		38.2		実測(融合2頭)
5	3		38.8		実測(融合4頭)
5	4		37.6		実測(融合2頭)
5	5		39.0		実測(融合2頭)
5	6		38.8		実測(融合4頭)
5	7		40.5		実測
5	8		38.8		実測(融合4頭)
5	9		38.8		実測(融合4頭)
5	10		39.0		実測(融合2頭)
5	11		37.6		実測(融合2頭)
6	1		40.1		実測(融合3頭)
6	2		40.4		実測(融合3頭)
6	3		40.1		実測(融合3頭)
6	4		39.6		実測(融合2頭)
6	5		40.8		実測(融合2頭)
6	6		40.4		実測(融合3頭)
6	7		40.4		実測(融合3頭)
6	8		40.1		実測(融合3頭)
6	9		41.5		実測
6	10		40.8		実測(融合2頭)
6	11		39.6		実測(融合2頭)
7	1		40.5		実測(融合5頭)
7	2		41.1		実測
7	3		40.5		実測(融合5頭)
7	4		39.5		実測(融合4頭)
7	5		40.5		実測(融合5頭)
7	6		40.5		実測(融合5頭)
7	7		41.5		実測
7	8		40.5		実測(融合5頭)
7	9		39.5		実測(融合4頭)
7	10		39.5		実測(融合4頭)
7	11		39.5		実測(融合4頭)
8	1		40.3		推定
8	2		39.7		推定
8	3		39.5		推定
8	4		39.3		推定
8	5		38.9		推定
8	7		40.3		推定
9	1		41.1		実測(融合5頭)
9	2		41.1		実測(融合5頭)
9	3		40.7		実測(融合3頭)
9	4		42.5		実測
9	5		40.2		実測(融合2頭)
9	6		41.1		実測(融合5頭)
9	7		40.2		実測(融合2頭)
9	8		42.2		実測
9	9		40.7		実測(融合3頭)
9	10		41.1		実測(融合5頭)
9	11		41.1		実測(融合5頭)
9	12		40.7		実測(融合3頭)
