レース	馬番	馬名	前半3F	向正面
1	1		41.3	
1	2		41.9	
1	3		40.0	
1	4		40.3	
1	5		39.3	
1	6		40.0	
1	7		41.2	
1	8		41.4	
1	9		39.4	
2	1		38.2	
2	2		39.3	
2	3		39.6	
2	4		39.7	
2	5		38.3	
2	6		40.5	
2	7		40.4	
2	8		39.6	
3	1		42.0	
3	2		41.3	
3	3		41.0	
3	4		40.5	
3	5		41.3	
3	6		41.6	
3	7		40.1	
3	8		40.1	
3	9		39.9	
3	10		42.0	
4	1		40.8	
4	2		41.7	
4	3		40.7	
4	4		41.3	
4	5		40.0	
4	6		40.4	
4	7		39.4	
4	8		41.5	
4	9		42.0	
4	10		41.1	
5	1		39.6	
5	2		41.8	
5	3		40.2	
5	4		41.5	
5	5		40.9	
5	6		41.0	
5	7		40.4	
5	8		41.2	
5	9		39.8	
6	1		39.6	内
6	2		39.6	外2
6	3		39.2	外2
6	4		39.2	外3
6	5		40.4	外2
6	6		41.9	外3
6	7		40.8	外2
6	8		40.9	外3
6	9		40.2	外2
6	10		40.2	外3
6	11		40.6	外3
7	1		40.0	
7	2		40.5	
7	3		39.8	
7	4		41.3	
7	5		38.8	
7	6		40.0	
7	7		41.0	
7	8		41.1	
7	9		39.3	
7	10		39.9	
7	11		41.2	
7	12		40.0	
8	1		38.9	
8	2		41.2	
8	3		39.3	
8	5		38.5	
8	6		39.8	
8	7		40.9	
8	8		40.0	
8	9		38.6	
8	10		38.3	
8	11		39.8	
8	12		40.0	
9	1		40.4	
9	2		38.5	
9	3		40.1	
9	4		39.7	
9	5		39.2	
9	6		39.9	
9	7		39.4	
9	8		37.0	
9	9		37.6	
9	10		37.2	
9	11		39.0	
9	12		39.7	
10	1		41.6	
10	2		40.2	
10	3		40.0	
10	4		41.1	
10	5		40.6	
10	6		40.6	
10	7		40.8	
10	8		40.3	
10	9		41.6	
10	10		41.4	
10	11		40.0	
10	12		41.1	
