レース	馬番	馬名	前半3F	向正面	出自
1	1		41.1		推定
1	2		42.2		推定
1	3		42.7		推定
1	4		42.6		推定
1	5		42.0		推定
1	6		40.5		推定
1	7		41.6		推定
1	8		40.5		推定
1	9		43.6		推定
2	1		42.3		推定
2	2		40.1		推定
2	3		40.5		推定
2	4		39.9		推定
2	5		40.5		推定
2	6		41.0		推定
2	7		39.3		推定
2	8		39.8		推定
2	9		40.6		推定
2	10		39.6		推定
2	11		40.1		推定
2	12		39.4		推定
3	1		39.6		推定
3	2		38.6		推定
3	3		39.6		推定
3	4		41.0		推定
3	5		39.4		推定
3	6		40.6		推定
3	7		40.1		推定
3	8		41.1		推定
3	9		41.2		推定
3	10		39.8		推定
3	11		38.6		推定
4	1		40.2		推定
4	2		38.9		推定
4	3		43.1		推定
4	4		42.8		推定
4	5		42.2		推定
4	6		41.9		推定
4	7		40.4		推定
4	8		38.8		推定
4	9		39.8		推定
4	10		38.8		推定
4	11		42.2		推定
5	1		41.5		推定
5	2		40.5		推定
5	3		41.7		推定
5	4		43.5		推定
5	5		42.5		推定
5	6		41.4		推定
5	7		43.1		推定
5	8		40.7		推定
5	9		42.2		推定
6	1		40.8		推定
6	2		40.0		推定
6	3		41.1		推定
6	4		41.5		推定
6	5		41.3		推定
6	6		40.2		推定
6	7		41.4		推定
6	8		40.1		推定
6	9		40.9		推定
6	10		40.3		推定
7	1		41.4		実測(融合2頭)
7	2		40.1		実測(融合4頭)
7	3		40.7		実測(融合2頭)
7	4		40.9		実測(融合2頭)
7	5		40.9		実測(融合2頭)
7	6		41.4		実測(融合2頭)
7	7		40.5		実測
7	8		40.1		実測(融合4頭)
7	9		40.7		実測(融合2頭)
7	10		40.1		実測(融合4頭)
7	11		40.1		実測(融合4頭)
7	12		41.2		実測
8	1		40.2		推定
8	2		39.0		推定
8	4		41.0		推定
8	5		39.3		推定
8	6		39.0		推定
8	7		39.3		推定
8	8		39.3		推定
8	9		38.4		推定
8	10		39.0		推定
9	1		40.7		推定
9	2		40.0		推定
9	3		38.9		推定
9	4		39.1		推定
9	5		39.7		推定
9	6		41.0		推定
9	7		40.4		推定
9	8		40.4		推定
9	9		39.6		推定
9	10		38.6		推定
9	11		38.5		推定
9	12		40.3		推定
10	1		40.4		実測(融合2頭)
10	2		39.8		実測(融合3頭)
10	3		39.2		実測
10	4		39.8		実測(融合3頭)
10	5		40.1		実測
10	6		39.8		実測(融合3頭)
10	7		38.7		実測
10	8		40.4		実測(融合2頭)
10	9		38.8		実測
11	1		39.6		推定
11	2		39.7		推定
11	3		39.8		推定
11	4		39.5		推定
11	5		40.4		推定
11	6		38.5		推定
11	7		39.2		推定
11	8		37.9		推定
11	9		39.4		推定
11	10		39.2		推定
11	11		38.5		推定
11	12		38.7		推定
