レース	馬番	馬名	前半3F	向正面	出自
1	1		41.9		推定
1	2		40.3		推定
1	3		40.5		推定
1	4		41.2		推定
1	5		40.5		推定
1	6		41.7		推定
1	7		41.2		推定
1	8		40.5		推定
1	9		40.6		推定
2	1		41.2		実測
2	2		39.5		実測(融合2頭)
2	3		40.5		実測
2	4		38.9		実測(融合3頭)
2	5		38.9		実測(融合3頭)
2	6		40.0		実測
2	7		39.2		実測
2	8		38.9		実測(融合3頭)
2	9		37.9		実測(融合2頭)
2	10		39.5		実測(融合2頭)
2	11		37.9		実測(融合2頭)
3	1		39.6		実測(融合2頭)
3	2		39.1		実測(融合2頭)
3	3		40.4		実測(融合2頭)
3	4		40.1		実測(融合3頭)
3	5		40.4		実測(融合2頭)
3	6		39.1		実測(融合2頭)
3	7		40.1		実測(融合3頭)
3	8		39.6		実測(融合2頭)
3	9		40.1		実測(融合3頭)
3	10		40.6		実測
3	11		42.2		実測
4	1		40.0		推定
4	3		39.4		推定
4	4		39.5		推定
4	5		39.0		推定
4	6		38.9		推定
4	7		40.2		推定
4	8		40.9		推定
4	9		41.1		推定
4	10		40.0		推定
4	11		39.0		推定
5	1		40.2		推定
5	2		39.2		推定
5	3		41.2		推定
5	4		39.9		推定
5	5		38.8		推定
5	6		39.8		推定
5	7		39.9		推定
5	8		39.4		推定
5	9		38.6		推定
5	10		38.5		推定
5	11		38.5		推定
5	12		38.5		推定
6	1		39.8		推定
6	2		41.2		推定
6	3		39.5		推定
6	4		41.1		推定
6	5		38.9		推定
6	6		39.8		推定
6	7		40.9		推定
6	8		38.5		推定
6	9		38.8		推定
6	10		39.0		推定
6	11		40.0		推定
6	12		38.8		推定
7	1		38.1		推定
7	2		38.1		推定
7	3		39.2		推定
7	4		39.1		推定
7	5		41.0		推定
7	6		38.8		推定
7	7		40.7		推定
7	8		40.6		推定
7	9		40.0		推定
7	10		40.6		推定
7	11		38.2		推定
7	12		38.3		推定
8	1		39.7		実測
8	2		39.3		実測(融合2頭)
8	3		40.6		実測
8	4		41.3		実測(融合2頭)
8	5		41.4		実測(融合3頭)
8	6		41.4		実測(融合3頭)
8	7		41.4		実測(融合3頭)
8	8		39.3		実測(融合2頭)
8	9		41.3		実測(融合2頭)
8	10		38.7		実測
8	11		41.2		実測
9	1		40.0		実測(融合3頭)
9	2		40.4		実測(融合3頭)
9	3		40.0		実測(融合3頭)
9	4		40.0		実測(融合3頭)
9	5		41.1		実測
9	6		41.2		実測(融合2頭)
9	7		40.4		実測(融合3頭)
9	8		41.2		実測(融合2頭)
9	9		40.6		実測(融合2頭)
9	10		40.6		実測(融合2頭)
9	11		40.4		実測(融合3頭)
10	1		40.6		実測(融合4頭)
10	2		40.0		実測(融合2頭)
10	3		41.4		実測
10	4		40.6		実測(融合4頭)
10	5		40.9		実測(融合2頭)
10	6		40.0		実測(融合2頭)
10	7		40.9		実測(融合2頭)
10	8		40.6		実測(融合4頭)
10	9		40.4		実測(融合2頭)
10	10		40.4		実測(融合2頭)
10	11		40.6		実測(融合4頭)
