レース	馬番	馬名	前半3F	向正面	出自
1	1		40.3		推定
1	2		39.6		推定
1	3		39.0		推定
1	4		41.9		推定
1	5		41.6		推定
1	6		39.4		推定
1	7		38.9		推定
1	8		39.6		推定
1	9		40.9		推定
1	10		42.8		推定
1	11		40.3		推定
2	1		39.8		推定
2	2		40.4		推定
2	3		39.1		推定
2	4		39.9		推定
2	5		39.8		推定
2	6		39.3		推定
2	7		39.8		推定
2	8		39.4		推定
2	9		40.9		推定
2	10		39.8		推定
3	1		39.9		推定
3	2		40.9		推定
3	3		40.1		推定
3	4		40.5		推定
3	5		41.0		推定
3	6		40.0		推定
3	7		40.2		推定
3	8		41.0		推定
3	9		39.8		推定
4	1		40.6		実測(融合4頭)
4	2		41.2		実測(融合3頭)
4	3		41.3		実測(融合2頭)
4	4		41.3		実測(融合2頭)
4	5		41.2		実測(融合3頭)
4	6		41.2		実測(融合3頭)
4	7		40.6		実測(融合4頭)
4	8		40.3		実測
4	9		40.6		実測(融合4頭)
4	10		40.6		実測(融合4頭)
5	1		40.1		実測(融合4頭)
5	2		41.6		実測
5	3		41.0		実測
5	4		40.1		実測(融合4頭)
5	5		40.1		実測(融合4頭)
5	6		41.2		実測
5	7		40.1		実測(融合4頭)
6	1		39.2		実測(融合4頭)
6	2		38.5		実測(融合3頭)
6	3		38.5		実測(融合3頭)
6	4		39.8		実測
6	5		39.2		実測(融合4頭)
6	6		39.2		実測(融合4頭)
6	7		39.2		実測(融合4頭)
6	8		39.5		実測(融合2頭)
6	9		40.0		実測
6	10		38.5		実測(融合3頭)
6	11		39.5		実測(融合2頭)
7	1		39.8		実測(融合4頭)
7	2		39.1		実測(融合3頭)
7	3		39.1		実測(融合3頭)
7	4		39.8		実測(融合4頭)
7	5		40.3		実測
7	6		39.8		実測(融合4頭)
7	7		39.8		実測(融合4頭)
7	8		39.1		実測(融合3頭)
7	9		40.9		実測
8	1		40.8		実測
8	2		41.3		実測(融合4頭)
8	3		41.3		実測(融合4頭)
8	4		41.3		実測(融合4頭)
8	5		41.2		実測(融合2頭)
8	6		41.2		実測(融合2頭)
8	7		42.5		実測
8	8		42.0		実測(融合2頭)
8	9		42.0		実測(融合2頭)
8	10		41.3		実測(融合4頭)
9	1		40.2		実測
9	2		40.4		実測
9	3		41.1		実測
9	4		39.1		実測(融合2頭)
9	5		39.6		実測(融合4頭)
9	6		39.1		実測(融合2頭)
9	8		40.7		実測
9	9		39.6		実測(融合4頭)
9	10		39.6		実測(融合4頭)
9	11		39.6		実測(融合4頭)
10	1		39.3		実測(融合4頭)
10	2		39.3		実測(融合4頭)
10	3		39.6		実測(融合3頭)
10	4		39.6		実測(融合3頭)
10	5		39.3		実測(融合4頭)
10	6		38.7		実測(融合2頭)
10	7		40.0		実測
10	8		40.5		実測
10	9		39.6		実測(融合3頭)
10	10		38.7		実測(融合2頭)
10	11		39.3		実測(融合4頭)
11	1		39.5		実測(融合5頭)
11	2		39.5		実測(融合5頭)
11	3		40.0		実測
11	4		40.3		実測
11	5		38.9		実測(融合2頭)
11	6		39.5		実測(融合5頭)
11	7		38.9		実測(融合2頭)
11	8		40.7		実測
11	9		39.5		実測(融合5頭)
11	10		39.5		実測(融合5頭)
12	1		41.4		推定
12	2		40.6		推定
12	3		39.6		推定
12	4		39.6		推定
12	5		41.4		推定
12	6		39.1		推定
12	7		40.0		推定
12	8		40.5		推定
12	9		40.8		推定
12	10		40.5		推定
12	11		41.4		推定
12	12		41.5		推定
