レース	馬番	馬名	前半3F	向正面	出自
1	1		40.2		実測(融合3頭)
1	2		40.2		実測(融合3頭)
1	3		40.5		実測(融合2頭)
1	4		42.3		実測
1	5		39.7		実測(融合2頭)
1	6		40.2		実測(融合3頭)
1	7		39.7		実測(融合2頭)
1	8		41.6		実測
1	9		40.5		実測(融合2頭)
2	1		39.5		推定
2	2		40.6		推定
2	3		40.1		推定
2	4		41.4		推定
2	5		39.5		推定
2	6		40.4		推定
2	7		40.8		推定
2	8		39.2		推定
3	1		41.0		推定
3	2		40.5		推定
3	3		40.2		推定
3	4		40.1		推定
3	5		39.2		推定
3	6		38.9		推定
3	7		39.1		推定
3	8		39.6		推定
3	9		39.2		推定
4	1		40.6		推定
4	2		41.5		推定
4	3		41.0		推定
4	4		41.0		推定
4	6		40.5		推定
4	7		40.9		推定
4	8		40.2		推定
4	9		40.2		推定
4	10		41.4		推定
5	1		39.6		推定
5	2		39.9		推定
5	3		39.1		推定
5	4		41.0		推定
5	5		39.7		推定
5	6		39.2		推定
5	7		39.8		推定
5	8		39.2		推定
5	9		41.1		推定
6	1		40.6		推定
6	2		40.0		推定
6	3		39.5		推定
6	4		39.0		推定
6	5		39.1		推定
6	6		39.7		推定
6	7		39.5		推定
6	8		39.1		推定
6	9		38.9		推定
6	10		39.1		推定
6	11		39.1		推定
6	12		38.6		推定
7	1		39.7		実測(融合3頭)
7	2		38.7		実測(融合2頭)
7	3		39.3		実測(融合3頭)
7	4		39.5		実測(融合2頭)
7	5		40.1		実測
7	6		39.7		実測(融合3頭)
7	7		39.5		実測(融合2頭)
7	8		39.3		実測(融合3頭)
7	9		40.8		実測
7	10		39.3		実測(融合3頭)
7	11		39.7		実測(融合3頭)
7	12		38.7		実測(融合2頭)
8	1		38.9		推定
8	2		39.4		推定
8	3		38.0		推定
8	4		37.9		推定
8	5		39.3		推定
8	6		39.3		推定
8	7		39.0		推定
8	8		38.8		推定
8	9		39.3		推定
8	10		37.6		推定
9	1		40.2		推定
9	2		40.0		推定
9	3		39.3		推定
9	4		41.1		推定
9	5		41.0		推定
9	6		39.4		推定
9	7		40.5		推定
9	8		41.1		推定
9	9		41.7		推定
9	10		38.1		推定
9	11		41.9		推定
10	1		39.8		推定
10	2		38.5		推定
10	3		39.9		推定
10	4		38.5		推定
10	5		39.4		推定
10	6		39.0		推定
10	7		39.9		推定
10	8		39.5		推定
10	9		38.8		推定
10	10		39.5		推定
10	11		39.2		推定
11	1		40.5		推定
11	2		40.1		推定
11	3		39.1		推定
11	4		40.0		推定
11	5		39.0		推定
11	6		39.0		推定
11	7		39.5		推定
11	8		39.6		推定
11	9		39.4		推定
11	10		39.5		推定
11	11		40.1		推定
11	12		40.6		推定
12	1		40.1		実測(融合4頭)
12	2		40.5		実測(融合2頭)
12	3		40.1		実測(融合4頭)
12	4		39.7		実測(融合3頭)
12	5		39.7		実測(融合3頭)
12	6		39.2		実測(融合2頭)
12	7		40.1		実測(融合4頭)
12	8		39.2		実測(融合2頭)
12	9		40.1		実測(融合4頭)
12	10		40.5		実測(融合2頭)
12	11		39.7		実測(融合3頭)
12	12		40.8		実測
