レース	馬番	馬名	前半3F
1	1		40.0
1	3		38.7
1	4		39.0
1	5		41.3
1	6		39.2
1	7		39.8
1	8		39.6
1	9		38.3
1	10		38.5
1	11		40.4
1	12		38.9
2	1		40.8
2	2		40.8
2	3		37.5
2	4		38.1
2	5		41.9
2	6		40.1
2	8		38.0
2	9		38.8
2	10		40.1
2	11		39.2
2	12		39.4
3	1		37.9
3	2		39.0
3	3		38.3
3	4		40.1
3	5		39.4
3	6		39.0
3	7		38.4
3	8		38.6
3	9		38.0
3	10		38.4
3	11		38.3
4	1		42.2
4	2		39.8
4	3		38.2
4	4		39.3
4	5		41.8
4	6		38.0
4	7		38.8
4	8		38.0
4	9		38.7
4	10		38.5
4	11		38.8
4	12		38.6
5	1		39.7
5	2		39.3
5	3		38.9
5	4		37.4
5	5		38.6
5	6		38.8
5	7		38.7
5	8		37.8
5	9		38.1
6	1		41.1
6	2		41.1
6	3		39.5
6	4		40.5
6	5		42.7
6	6		40.3
6	7		41.7
6	8		40.5
6	9		39.7
7	1		37.5
7	2		41.0
7	3		38.6
7	4		38.0
7	5		37.9
7	6		40.1
7	7		40.8
7	8		40.6
7	9		37.8
7	10		41.5
7	11		38.0
8	2		40.7
8	3		41.0
8	5		40.9
8	6		41.4
8	7		41.5
8	8		41.6
9	1		40.6
9	2		41.5
9	3		40.4
9	4		41.1
9	5		41.6
9	6		40.4
9	7		40.7
9	8		41.2
10	1		41.6
10	2		38.9
10	3		40.7
10	4		40.1
10	5		39.2
10	6		39.7
10	7		41.1
10	8		40.6
10	9		40.3
10	10		39.5
10	11		39.5
10	12		40.1
