レース	馬番	馬名	前半3F	向正面	出自
1	1		40.2		推定
1	2		40.0		推定
1	3		40.0		推定
1	4		40.2		推定
1	5		43.0		推定
1	6		41.2		推定
1	7		42.0		推定
1	8		40.6		推定
2	1		41.3		推定
2	2		40.4		推定
2	3		41.1		推定
2	4		41.0		推定
2	5		41.4		推定
2	6		40.8		推定
2	7		42.2		推定
2	8		40.3		推定
2	9		40.6		推定
2	10		41.0		推定
3	1		41.4		実測
3	2		41.6		実測(融合3頭)
3	3		41.6		実測(融合3頭)
3	4		40.6		実測(融合4頭)
3	5		40.6		実測(融合4頭)
3	6		40.3		実測
3	7		40.6		実測(融合4頭)
3	8		41.6		実測(融合3頭)
3	9		40.6		実測(融合4頭)
4	1		40.8		実測(融合2頭)
4	2		39.6		実測
4	3		40.1		実測(融合2頭)
4	4		41.3		実測
4	5		40.3		実測
4	7		40.4		実測
4	8		40.1		実測(融合2頭)
4	9		40.8		実測(融合2頭)
5	1		41.2		実測(融合2頭)
5	2		41.6		実測
5	3		40.5		実測
5	4		42.1		実測
5	5		41.2		実測(融合2頭)
5	6		39.2		実測
5	7		40.1		実測
5	8		40.8		実測
6	1		41.3		実測(融合3頭)
6	2		40.3		実測(融合2頭)
6	3		39.9		実測(融合2頭)
6	4		41.3		実測(融合3頭)
6	5		40.9		実測(融合2頭)
6	6		40.6		実測(融合2頭)
6	7		40.6		実測(融合2頭)
6	8		40.9		実測(融合2頭)
6	9		40.3		実測(融合2頭)
6	10		39.9		実測(融合2頭)
6	11		41.3		実測(融合3頭)
7	1		37.7		実測(融合4頭)
7	2		39.1		実測
7	3		38.8		実測(融合3頭)
7	4		38.8		実測(融合3頭)
7	5		38.8		実測(融合3頭)
7	6		37.7		実測(融合4頭)
7	7		37.7		実測(融合4頭)
7	8		37.7		実測(融合4頭)
8	1		39.6		実測(融合3頭)
8	2		38.7		実測(融合4頭)
8	3		39.6		実測(融合3頭)
8	4		39.8		実測
8	5		39.6		実測(融合3頭)
8	6		38.7		実測(融合4頭)
8	8		38.7		実測(融合4頭)
8	9		38.7		実測(融合4頭)
9	1		41.6		実測(融合2頭)
9	2		41.4		実測(融合2頭)
9	3		40.4		実測
9	4		41.1		実測(融合2頭)
9	5		41.6		実測(融合2頭)
9	6		41.8		実測
9	7		42.8		実測
9	8		40.8		実測(融合2頭)
9	9		40.8		実測(融合2頭)
9	10		41.1		実測(融合2頭)
9	11		41.4		実測(融合2頭)
