レース	馬番	馬名	前半3F	向正面	出自
1	1		40.0		推定
1	2		40.1		推定
1	3		41.1		推定
1	4		40.6		推定
1	5		40.4		推定
1	6		41.6		推定
1	7		41.8		推定
1	8		40.8		推定
2	1		41.1		推定
2	2		40.6		推定
2	3		41.4		推定
2	4		41.6		推定
2	5		40.1		推定
2	6		42.4		推定
2	7		41.0		推定
2	8		40.8		推定
3	1		39.4		推定
3	2		40.5		推定
3	3		39.5		推定
3	4		41.4		推定
3	5		42.0		推定
3	6		40.4		推定
3	7		39.5		推定
3	8		40.4		推定
4	1		41.4		推定
4	2		40.9		推定
4	3		41.0		推定
4	4		41.2		推定
4	5		40.0		推定
4	6		41.0		推定
4	7		40.2		推定
4	8		39.8		推定
5	1		40.5		推定
5	2		40.0		推定
5	3		40.5		推定
5	4		44.2		推定
5	5		40.1		推定
5	6		39.5		推定
5	7		41.0		推定
5	8		39.4		推定
6	1		38.5		実測(融合4頭)
6	2		39.3		実測(融合5頭)
6	3		38.5		実測(融合4頭)
6	4		39.3		実測(融合5頭)
6	5		39.8		実測
6	6		40.2		実測
6	7		40.0		実測
6	8		38.5		実測(融合4頭)
6	9		39.3		実測(融合5頭)
6	10		39.3		実測(融合5頭)
6	11		39.3		実測(融合5頭)
6	12		38.5		実測(融合4頭)
7	1		38.8		推定
7	2		40.8		推定
7	3		40.7		推定
7	4		40.9		推定
7	5		40.2		推定
7	6		38.9		推定
7	7		39.4		推定
7	9		39.0		推定
8	1		41.2		実測(融合4頭)
8	2		40.6		実測
8	3		41.2		実測(融合4頭)
8	4		40.9		実測
8	5		41.2		実測(融合4頭)
8	6		41.4		実測
8	7		41.2		実測(融合4頭)
9	1		39.3		推定
9	2		38.7		推定
9	3		39.6		推定
9	4		38.8		推定
9	5		40.4		推定
9	6		39.7		推定
9	7		40.1		推定
9	8		39.3		推定
9	9		39.0		推定
9	10		40.0		推定
10	1		40.2		推定
10	3		39.3		推定
10	4		38.9		推定
10	5		40.1		推定
10	6		39.2		推定
10	7		39.7		推定
10	8		39.6		推定
10	9		39.9		推定
11	1		40.0		推定
11	2		40.0		推定
11	3		41.0		推定
11	4		39.6		推定
11	5		40.9		推定
11	6		41.0		推定
11	7		40.8		推定
11	8		41.6		推定
11	9		41.0		推定
11	10		39.8		推定
11	11		40.9		推定
11	12		39.2		推定
