レース	馬番	馬名	前半3F	向正面	出自
1	1		39.7		推定
1	2		38.7		推定
1	3		38.9		推定
1	4		38.6		推定
1	6		39.4		推定
1	7		39.2		推定
1	8		39.6		推定
2	1		39.8		推定
2	2		40.3		推定
2	3		37.8		推定
2	4		38.5		推定
2	5		40.7		推定
2	6		38.1		推定
2	7		38.2		推定
2	8		41.7		推定
2	9		38.8		推定
2	10		39.8		推定
2	11		38.3		推定
3	1		41.4		実測(融合3頭)
3	2		41.6		実測(融合3頭)
3	3		41.4		実測(融合3頭)
3	4		41.6		実測(融合3頭)
3	5		40.9		実測(融合3頭)
3	6		40.9		実測(融合3頭)
3	7		41.6		実測(融合3頭)
3	8		40.6		実測
3	9		41.4		実測(融合3頭)
3	10		40.9		実測(融合3頭)
4	1		40.8		推定
4	2		40.2		推定
4	3		39.5		推定
4	4		39.7		推定
4	5		39.7		推定
4	6		39.5		推定
4	7		40.3		推定
4	8		39.5		推定
4	9		40.7		推定
4	10		40.5		推定
4	11		39.6		推定
5	1		41.0		実測(融合2頭)
5	2		41.5		実測(融合2頭)
5	3		41.0		実測(融合2頭)
5	4		40.6		実測
5	5		40.4		実測
5	6		41.5		実測(融合2頭)
5	7		40.0		実測
6	1		40.5		実測
6	2		39.7		実測
6	3		40.6		実測(融合2頭)
6	4		40.1		実測(融合2頭)
6	5		40.6		実測(融合2頭)
6	6		40.8		実測
6	7		40.1		実測(融合2頭)
7	2		39.1		推定
7	3		38.7		推定
7	5		38.8		推定
7	6		38.8		推定
7	7		39.0		推定
7	8		38.4		推定
8	1		41.8		実測(融合2頭)
8	2		41.4		実測
8	3		41.8		実測(融合2頭)
8	4		41.0		実測(融合2頭)
8	5		41.0		実測(融合2頭)
8	6		42.4		実測
8	7		42.8		実測
8	9		42.0		実測
9	1		41.2		推定
9	2		40.7		推定
9	3		40.4		推定
9	4		41.0		推定
9	5		41.0		推定
9	6		40.0		推定
9	7		41.2		推定
9	8		40.6		推定
9	9		40.2		推定
9	10		41.4		推定
9	11		40.1		推定
9	12		40.8		推定
