レース	馬番	馬名	前半3F	向正面	出自
1	1		39.2		実測(融合3頭)
1	2		40.0		実測(融合2頭)
1	3		40.5		実測
1	4		41.0		実測
1	5		39.2		実測(融合3頭)
1	6		39.7		実測(融合2頭)
1	7		39.7		実測(融合2頭)
1	8		40.0		実測(融合2頭)
1	9		39.2		実測(融合3頭)
2	1		38.6		実測(融合3頭)
2	2		38.6		実測(融合3頭)
2	3		40.9		実測(融合5頭)
2	4		40.9		実測(融合5頭)
2	5		40.9		実測(融合5頭)
2	6		40.9		実測(融合5頭)
2	7		40.9		実測(融合5頭)
2	8		39.2		実測
2	9		38.6		実測(融合3頭)
2	10		42.1		実測
3	1		39.6		実測
3	2		38.4		実測(融合3頭)
3	3		40.4		実測
3	4		38.4		実測(融合3頭)
3	5		39.1		実測(融合3頭)
3	6		39.4		実測
3	7		39.1		実測(融合3頭)
3	8		39.1		実測(融合3頭)
3	9		38.4		実測(融合3頭)
4	1		39.2		実測(融合3頭)
4	2		39.5		実測(融合2頭)
4	3		39.8		実測
4	4		38.6		実測(融合3頭)
4	5		38.6		実測(融合3頭)
4	6		39.5		実測(融合2頭)
4	7		38.6		実測(融合3頭)
4	8		39.9		実測
4	9		39.2		実測(融合3頭)
4	10		39.2		実測(融合3頭)
5	1		39.7		実測(融合2頭)
5	2		40.1		実測(融合2頭)
5	3		38.3		実測(融合2頭)
5	4		40.1		実測(融合2頭)
5	5		38.3		実測(融合2頭)
5	6		41.0		実測(融合2頭)
5	7		41.0		実測(融合2頭)
5	8		39.1		実測(融合2頭)
5	9		39.1		実測(融合2頭)
5	10		39.7		実測(融合2頭)
5	11		39.0		実測
6	1		39.5		実測(融合6頭)
6	2		44.0		実測
6	3		39.5		実測(融合6頭)
6	5		43.6		実測
6	6		39.5		実測(融合6頭)
6	7		39.5		実測(融合6頭)
6	8		39.5		実測(融合6頭)
6	9		39.5		実測(融合6頭)
6	10		43.3		実測
7	1		38.3		実測(融合2頭)
7	2		39.7		実測
7	3		38.9		実測(融合5頭)
7	4		40.0		実測
7	5		38.9		実測(融合5頭)
7	6		38.9		実測(融合5頭)
7	7		40.3		実測
7	8		38.9		実測(融合5頭)
7	9		38.3		実測(融合2頭)
7	10		38.9		実測(融合5頭)
8	1		39.1		実測(融合2頭)
8	2		38.8		実測(融合2頭)
8	3		39.1		実測(融合2頭)
8	4		39.6		実測
8	5		38.4		実測
8	6		40.2		実測
8	7		38.8		実測(融合2頭)
8	8		39.4		実測
9	1		41.7		実測(融合3頭)
9	2		41.7		実測(融合3頭)
9	3		40.2		実測(融合2頭)
9	4		39.7		実測(融合2頭)
9	5		40.8		実測
9	6		40.2		実測(融合2頭)
9	7		41.7		実測(融合3頭)
9	8		39.7		実測(融合2頭)
10	1		40.0		実測(融合3頭)
10	2		39.6		実測(融合4頭)
10	3		39.4		実測(融合2頭)
10	4		40.0		実測(融合3頭)
10	5		39.6		実測(融合4頭)
10	6		39.6		実測(融合4頭)
10	7		38.9		実測(融合2頭)
10	8		39.4		実測(融合2頭)
10	9		38.9		実測(融合2頭)
10	10		40.0		実測(融合3頭)
10	11		40.4		実測
10	12		39.6		実測(融合4頭)
