レース	馬番	馬名	前半3F	向正面	出自
1	1		39.4		実測(融合4頭)
1	2		40.1		実測(融合4頭)
1	3		39.0		実測(融合2頭)
1	4		40.1		実測(融合4頭)
1	5		40.9		実測
1	6		40.1		実測(融合4頭)
1	7		39.4		実測(融合4頭)
1	8		39.4		実測(融合4頭)
1	9		40.1		実測(融合4頭)
1	10		39.0		実測(融合2頭)
1	11		39.4		実測(融合4頭)
2	1		38.5		実測
2	2		38.9		実測(融合4頭)
2	3		38.9		実測(融合4頭)
2	4		39.9		実測
2	5		38.9		実測(融合4頭)
2	6		40.8		実測
2	7		39.4		実測(融合3頭)
2	8		39.4		実測(融合3頭)
2	9		39.4		実測(融合3頭)
2	10		38.9		実測(融合4頭)
3	1		38.5		推定
3	2		39.2		推定
3	3		39.7		推定
3	4		39.5		推定
3	5		38.7		推定
3	6		39.4		推定
3	7		38.7		推定
3	9		39.1		推定
4	1		38.1		実測(融合4頭)
4	2		39.0		実測(融合5頭)
4	3		39.0		実測(融合5頭)
4	4		39.5		実測
4	5		38.1		実測(融合4頭)
4	6		39.0		実測(融合5頭)
4	7		39.0		実測(融合5頭)
4	8		38.1		実測(融合4頭)
4	9		39.0		実測(融合5頭)
4	10		38.1		実測(融合4頭)
4	11		39.3		実測
5	1		40.0		推定
5	2		39.5		推定
5	3		39.4		推定
5	4		39.9		推定
5	5		38.8		推定
5	6		39.1		推定
5	7		42.1		推定
5	8		42.1		推定
5	9		39.0		推定
5	10		38.7		推定
6	1		39.8		推定
6	2		38.9		推定
6	3		40.4		推定
6	4		40.5		推定
6	5		38.8		推定
6	6		40.2		推定
6	7		39.9		推定
6	8		39.4		推定
7	1		38.5		推定
7	2		38.0		推定
7	3		38.4		推定
7	4		38.8		推定
7	5		38.0		推定
7	6		39.0		推定
7	7		38.5		推定
7	8		39.0		推定
8	1		38.2		推定
8	2		41.0		推定
8	3		38.9		推定
8	4		38.8		推定
8	5		39.5		推定
8	6		38.6		推定
8	7		38.8		推定
8	8		38.4		推定
9	1		37.5		実測(融合3頭)
9	2		38.2		実測(融合2頭)
9	3		39.1		実測
9	4		38.2		実測(融合2頭)
9	5		37.5		実測(融合3頭)
9	6		38.1		実測(融合2頭)
9	7		39.4		実測
9	8		38.1		実測(融合2頭)
9	9		37.5		実測(融合3頭)
10	1		38.8		実測(融合2頭)
10	2		38.5		実測(融合2頭)
10	4		38.1		実測(融合2頭)
10	5		38.5		実測(融合2頭)
10	6		38.8		実測(融合2頭)
10	7		39.5		実測
10	8		38.1		実測(融合2頭)
11	1		40.2		推定
11	2		38.8		推定
11	3		39.5		推定
11	4		38.5		推定
11	5		38.0		推定
11	6		38.6		推定
11	7		38.8		推定
11	8		39.4		推定
11	9		39.6		推定
11	10		38.4		推定
11	11		39.2		推定
11	12		39.0		推定
