レース	馬番	馬名	前半3F	向正面	出自
2	1		40.3		推定
2	2		41.1		推定
2	3		39.8		推定
2	4		40.3		推定
2	5		40.5		推定
2	6		40.1		推定
2	7		40.0		推定
2	8		40.2		推定
2	9		41.0		推定
2	10		41.1		推定
5	1		38.2		推定
5	2		38.4		推定
5	3		38.7		推定
5	4		38.1		推定
5	5		38.0		推定
5	6		38.7		推定
5	7		39.1		推定
5	8		38.3		推定
5	9		37.9		推定
5	10		38.6		推定
5	11		39.4		推定
5	12		39.6		推定
6	1		42.5		推定
6	2		38.0		推定
6	3		38.0		推定
6	4		41.0		推定
6	5		40.8		推定
6	6		40.4		推定
6	7		38.4		推定
6	8		40.2		推定
6	9		37.9		推定
7	1		39.4		推定
7	2		39.0		推定
7	3		39.6		推定
7	4		39.5		推定
7	5		39.0		推定
7	6		40.0		推定
7	7		39.0		推定
7	8		38.6		推定
7	9		40.6		推定
7	10		39.6		推定
8	2		37.7		推定
8	3		38.3		推定
8	4		37.7		推定
8	5		39.0		推定
8	6		37.9		推定
8	7		38.0		推定
8	8		39.8		推定
8	9		38.6		推定
9	1		37.0		推定
9	2		37.0		推定
9	3		37.9		推定
9	4		38.1		推定
9	5		39.8		推定
9	6		39.4		推定
9	8		39.9		推定
9	9		36.2		推定
9	10		37.0		推定
