レース	馬番	馬名	前半3F	向正面	出自
1	1		39.9		実測
1	3		38.4		実測(融合4頭)
1	4		38.4		実測(融合4頭)
1	5		37.9		実測(融合2頭)
1	6		38.4		実測(融合4頭)
1	7		39.2		実測
1	8		38.4		実測(融合4頭)
1	9		37.9		実測(融合2頭)
2	1		40.5		実測(融合2頭)
2	2		40.1		実測(融合2頭)
2	3		40.9		実測(融合5頭)
2	4		40.9		実測(融合5頭)
2	5		40.9		実測(融合5頭)
2	6		40.9		実測(融合5頭)
2	7		41.6		実測
2	8		40.9		実測(融合5頭)
2	9		40.5		実測(融合2頭)
2	10		40.1		実測(融合2頭)
3	1		40.2		実測(融合2頭)
3	2		39.8		実測(融合4頭)
3	3		39.0		実測(融合3頭)
3	4		39.0		実測(融合3頭)
3	5		39.8		実測(融合4頭)
3	6		40.2		実測(融合2頭)
3	7		39.0		実測(融合3頭)
3	8		39.8		実測(融合4頭)
3	9		40.0		実測(融合2頭)
3	10		40.7		実測
3	11		40.0		実測(融合2頭)
3	12		39.8		実測(融合4頭)
4	1		39.0		実測(融合3頭)
4	2		38.7		実測(融合3頭)
4	3		38.2		実測(融合2頭)
4	4		39.6		実測
4	5		39.4		実測(融合3頭)
4	6		38.7		実測(融合3頭)
4	7		39.4		実測(融合3頭)
4	8		38.2		実測(融合2頭)
4	9		39.0		実測(融合3頭)
4	10		38.7		実測(融合3頭)
4	11		39.4		実測(融合3頭)
4	12		39.0		実測(融合3頭)
5	1		39.1		実測(融合4頭)
5	2		38.3		実測(融合4頭)
5	3		38.3		実測(融合4頭)
5	5		39.5		実測
5	6		39.1		実測(融合4頭)
5	8		39.1		実測(融合4頭)
5	9		38.3		実測(融合4頭)
5	10		39.1		実測(融合4頭)
5	11		38.3		実測(融合4頭)
6	1		40.4		推定
6	2		40.5		推定
6	3		42.6		推定
6	4		40.1		推定
6	5		40.8		推定
6	6		40.0		推定
6	7		40.5		推定
6	8		40.1		推定
6	9		40.2		推定
6	10		40.6		推定
7	1		40.2		実測(融合2頭)
7	3		40.0		実測(融合3頭)
7	4		40.4		実測
7	5		40.2		実測(融合2頭)
7	6		39.3		実測(融合3頭)
7	7		40.0		実測(融合3頭)
7	8		39.3		実測(融合3頭)
7	10		40.0		実測(融合3頭)
8	1		38.6		実測(融合3頭)
8	2		39.0		実測(融合3頭)
8	3		39.0		実測(融合3頭)
8	4		39.3		実測
8	5		38.0		実測(融合2頭)
8	6		38.6		実測(融合3頭)
8	7		38.6		実測(融合3頭)
8	8		38.5		実測(融合2頭)
8	9		38.5		実測(融合2頭)
8	10		39.0		実測(融合3頭)
8	11		38.0		実測(融合2頭)
9	1		39.5		実測(融合2頭)
9	2		39.3		実測
9	3		39.7		実測(融合2頭)
9	4		39.8		実測(融合2頭)
9	5		39.7		実測(融合2頭)
9	6		38.9		実測(融合2頭)
9	7		39.5		実測(融合2頭)
9	8		40.1		実測
9	9		40.3		実測
9	10		39.8		実測(融合2頭)
9	11		38.9		実測(融合2頭)
10	1		38.7		実測(融合2頭)
10	2		39.3		実測(融合3頭)
10	3		38.7		実測(融合2頭)
10	4		39.0		実測
10	5		39.8		実測
10	6		39.3		実測(融合3頭)
10	7		39.3		実測(融合3頭)
10	8		40.6		実測
11	1		36.9		実測(融合3頭)
11	2		38.9		実測
11	3		37.5		実測(融合3頭)
11	4		39.1		実測
11	5		36.9		実測(融合3頭)
11	6		36.9		実測(融合3頭)
11	7		38.6		実測
11	8		37.5		実測(融合3頭)
11	9		37.5		実測(融合3頭)
12	1		39.3		実測
12	2		37.5		実測(融合2頭)
12	3		38.0		実測(融合3頭)
12	4		37.5		実測(融合2頭)
12	5		38.5		実測(融合4頭)
12	6		38.5		実測(融合4頭)
12	8		38.0		実測(融合3頭)
12	9		38.5		実測(融合4頭)
12	10		38.5		実測(融合4頭)
12	11		38.8		実測
12	12		38.0		実測(融合3頭)
