レース	馬番	馬名	前半3F	向正面	出自
1	1		40.2		実測(融合2頭)
1	2		41.3		実測
1	3		40.8		実測(融合2頭)
1	4		40.3		実測(融合2頭)
1	5		40.5		実測
1	6		40.8		実測(融合2頭)
1	7		40.2		実測(融合2頭)
1	8		39.7		実測
1	9		40.3		実測(融合2頭)
2	1		40.0		推定
2	2		40.2		推定
2	3		40.0		推定
2	4		41.1		推定
2	5		41.5		推定
2	6		40.8		推定
2	7		39.7		推定
2	8		41.2		推定
2	9		41.5		推定
2	10		39.7		推定
2	11		40.8		推定
6	1		40.7		推定
6	2		40.3		推定
6	3		39.5		推定
6	4		40.2		推定
6	5		39.6		推定
6	6		40.8		推定
6	7		39.4		推定
6	8		38.9		推定
6	9		38.9		推定
6	10		38.8		推定
7	1		41.2		推定
7	2		40.3		推定
7	3		40.5		推定
7	4		40.1		推定
7	5		41.6		推定
7	6		40.8		推定
7	7		40.2		推定
7	8		40.7		推定
7	9		41.0		推定
7	10		41.4		推定
7	11		42.2		推定
7	12		40.3		推定
8	1		38.5		推定
8	2		40.4		推定
8	3		38.5		推定
8	4		39.3		推定
8	5		39.0		推定
8	6		38.5		推定
8	7		40.0		推定
8	8		39.3		推定
8	9		39.4		推定
8	10		42.2		推定
8	11		40.2		推定
8	12		39.3		推定
9	1		38.8		推定
9	2		39.1		推定
9	3		39.0		推定
9	4		39.9		推定
9	5		39.6		推定
9	6		38.9		推定
9	7		39.5		推定
9	8		39.6		推定
9	9		39.1		推定
9	10		39.4		推定
10	1		40.7		実測
10	2		41.6		実測(融合3頭)
10	3		40.0		実測(融合3頭)
10	4		40.0		実測(融合3頭)
10	5		41.1		実測
10	6		40.4		実測
10	7		41.0		実測
10	8		41.6		実測(融合3頭)
10	9		40.0		実測(融合3頭)
10	10		41.6		実測(融合3頭)
11	1		40.3		実測(融合2頭)
11	4		42.7		実測
11	5		41.0		実測(融合2頭)
11	6		41.0		実測(融合2頭)
11	7		39.6		実測
11	8		42.3		実測(融合3頭)
11	9		40.3		実測(融合2頭)
11	10		42.3		実測(融合3頭)
11	11		42.3		実測(融合3頭)
