レース	馬番	馬名	前半3F	向正面	出自
1	1		39.7		推定
1	2		40.7		推定
1	3		40.7		推定
1	4		39.7		推定
1	5		41.1		推定
1	6		40.5		推定
1	7		40.4		推定
1	8		40.8		推定
1	9		41.8		推定
1	10		41.3		推定
2	1		39.9		推定
2	2		39.3		推定
2	3		39.3		推定
2	4		39.7		推定
2	5		39.1		推定
2	6		39.2		推定
2	7		39.4		推定
2	8		39.9		推定
2	9		39.6		推定
3	1		38.9		推定
3	2		39.0		推定
3	3		39.4		推定
3	4		39.0		推定
3	5		39.4		推定
3	6		39.0		推定
3	7		39.1		推定
3	8		38.9		推定
3	9		38.9		推定
4	1		40.6		実測(融合3頭)
4	2		40.6		実測(融合3頭)
4	3		40.4		実測(融合2頭)
4	4		40.6		実測(融合3頭)
4	5		40.4		実測(融合2頭)
4	6		40.2		実測(融合2頭)
4	7		39.8		実測
4	8		40.0		実測(融合2頭)
4	9		40.2		実測(融合2頭)
4	10		39.9		実測
4	11		39.4		実測
4	12		40.0		実測(融合2頭)
5	1		40.4		推定
5	2		40.1		推定
5	3		40.0		推定
5	4		39.4		推定
5	5		39.8		推定
5	6		39.4		推定
5	7		40.3		推定
5	8		39.5		推定
5	9		39.5		推定
5	10		40.0		推定
5	11		39.6		推定
5	12		40.3		推定
6	1		39.0		推定
6	2		40.9		推定
6	3		39.1		推定
6	4		42.3		推定
6	5		41.2		推定
6	6		39.2		推定
6	7		38.9		推定
6	8		40.8		推定
6	9		38.8		推定
6	10		41.4		推定
6	11		39.9		推定
6	12		39.1		推定
7	1		39.4		実測
7	2		39.7		実測(融合4頭)
7	3		39.7		実測(融合4頭)
7	4		38.5		実測(融合2頭)
7	5		39.1		実測
7	6		40.6		実測
7	7		40.1		実測(融合2頭)
7	8		40.1		実測(融合2頭)
7	9		39.7		実測(融合4頭)
7	10		38.5		実測(融合2頭)
7	11		39.7		実測(融合4頭)
8	1		41.5		実測
8	2		40.2		実測(融合3頭)
8	3		40.2		実測(融合3頭)
8	4		41.0		実測(融合2頭)
8	5		40.5		実測(融合4頭)
8	6		40.5		実測(融合4頭)
8	7		40.5		実測(融合4頭)
8	8		40.5		実測(融合4頭)
8	9		39.7		実測(融合2頭)
8	10		41.0		実測(融合2頭)
8	11		39.7		実測(融合2頭)
8	12		40.2		実測(融合3頭)
9	1		39.9		推定
9	2		40.2		推定
9	3		40.3		推定
9	4		40.6		推定
9	5		39.4		推定
9	6		39.2		推定
9	7		39.8		推定
9	8		40.0		推定
9	9		39.3		推定
9	10		39.5		推定
9	11		39.4		推定
9	12		40.1		推定
10	1		40.6		推定
10	2		38.9		推定
10	3		39.4		推定
10	4		39.5		推定
10	5		39.2		推定
10	6		39.4		推定
10	7		40.3		推定
10	8		38.8		推定
10	9		41.0		推定
10	10		39.7		推定
10	11		38.9		推定
11	1		39.7		実測(融合5頭)
11	2		39.5		実測(融合2頭)
11	3		39.7		実測(融合5頭)
11	4		40.4		実測(融合2頭)
11	5		39.5		実測(融合2頭)
11	6		39.7		実測(融合5頭)
11	7		39.0		実測(融合2頭)
11	8		39.7		実測(融合5頭)
11	9		39.0		実測(融合2頭)
11	10		40.4		実測(融合2頭)
11	11		39.7		実測(融合5頭)
12	1		38.6		推定
12	3		38.1		推定
12	4		38.5		推定
12	5		38.8		推定
12	6		38.5		推定
12	7		39.1		推定
12	8		39.0		推定
12	9		39.2		推定
12	10		38.0		推定
12	11		39.0		推定
12	12		38.4		推定
