レース	馬番	馬名	前半3F	向正面	出自
1	1		40.9		実測(融合4頭)
1	2		41.5		実測
1	3		40.4		実測(融合2頭)
1	4		40.9		実測(融合4頭)
1	5		40.9		実測(融合4頭)
1	6		41.4		実測(融合2頭)
1	7		41.4		実測(融合2頭)
1	8		40.4		実測(融合2頭)
1	9		40.9		実測(融合4頭)
2	1		39.8		実測(融合4頭)
2	2		40.1		実測(融合4頭)
2	3		40.1		実測(融合4頭)
2	4		39.2		実測(融合2頭)
2	5		42.1		実測
2	6		40.1		実測(融合4頭)
2	7		39.8		実測(融合4頭)
2	8		39.8		実測(融合4頭)
2	9		40.1		実測(融合4頭)
2	10		39.2		実測(融合2頭)
2	11		39.8		実測(融合4頭)
3	1		41.0		実測(融合4頭)
3	2		41.5		実測(融合2頭)
3	3		41.5		実測(融合2頭)
3	4		40.2		実測(融合2頭)
3	5		41.0		実測(融合4頭)
3	6		40.7		実測(融合3頭)
3	7		41.0		実測(融合4頭)
3	8		40.7		実測(融合3頭)
3	9		41.0		実測(融合4頭)
3	10		40.2		実測(融合2頭)
3	11		40.7		実測(融合3頭)
4	1		39.5		実測(融合3頭)
4	2		40.0		実測(融合2頭)
4	3		39.6		実測(融合2頭)
4	4		39.8		実測(融合2頭)
4	5		38.9		実測(融合2頭)
4	6		40.4		実測
4	7		39.5		実測(融合3頭)
4	8		39.6		実測(融合2頭)
4	9		39.5		実測(融合3頭)
4	10		40.0		実測(融合2頭)
4	11		39.8		実測(融合2頭)
4	12		38.9		実測(融合2頭)
6	1		39.3		実測(融合3頭)
6	2		38.8		実測(融合4頭)
6	3		38.8		実測(融合4頭)
6	4		39.3		実測(融合3頭)
6	5		38.3		実測(融合2頭)
6	6		38.8		実測(融合4頭)
6	7		39.9		実測
6	8		38.8		実測(融合4頭)
6	9		39.5		実測
6	10		39.3		実測(融合3頭)
6	11		38.3		実測(融合2頭)
7	1		40.1		実測(融合3頭)
7	2		40.6		実測(融合2頭)
7	3		40.6		実測(融合2頭)
7	4		40.4		実測(融合2頭)
7	5		39.6		実測(融合2頭)
7	6		40.4		実測(融合2頭)
7	7		40.1		実測(融合3頭)
7	8		40.5		実測
7	9		41.0		実測
7	10		40.1		実測(融合3頭)
7	11		39.6		実測(融合2頭)
8	1		40.1		推定
8	2		41.2		推定
8	3		41.6		推定
8	4		41.2		推定
8	5		40.9		推定
8	6		41.6		推定
8	7		40.3		推定
8	8		41.5		推定
8	9		40.7		推定
8	10		40.1		推定
9	1		41.0		実測(融合3頭)
9	2		41.0		実測(融合3頭)
9	3		40.3		実測
9	4		41.4		実測
9	5		41.8		実測(融合3頭)
9	6		40.6		実測(融合3頭)
9	7		40.6		実測(融合3頭)
9	8		41.8		実測(融合3頭)
9	9		41.8		実測(融合3頭)
9	10		41.0		実測(融合3頭)
9	11		40.6		実測(融合3頭)
10	1		39.7		実測(融合4頭)
10	2		40.1		実測
10	3		39.7		実測(融合4頭)
10	4		39.0		実測(融合2頭)
10	5		39.7		実測(融合4頭)
10	6		39.7		実測(融合4頭)
10	7		39.0		実測(融合2頭)
10	8		40.0		実測
11	1		40.3		実測(融合2頭)
11	2		40.8		実測(融合2頭)
11	3		41.1		実測(融合3頭)
11	4		40.3		実測(融合2頭)
11	5		41.7		実測
11	6		42.5		実測
11	7		41.1		実測(融合3頭)
11	8		41.1		実測(融合3頭)
11	9		40.8		実測(融合2頭)
12	1		39.7		実測(融合6頭)
12	2		39.7		実測(融合6頭)
12	3		39.7		実測(融合6頭)
12	4		41.2		実測
12	5		41.5		実測
12	6		40.6		実測
12	7		42.0		実測
12	8		39.3		実測
12	9		39.7		実測(融合6頭)
12	11		39.7		実測(融合6頭)
12	12		39.7		実測(融合6頭)
