レース	馬番	馬名	前半3F	向正面	出自
1	1		38.4		推定
1	2		39.8		推定
1	3		39.8		推定
1	4		40.5		推定
1	5		40.5		推定
2	2		42.2		実測(融合4頭)
2	3		41.4		実測(融合2頭)
2	4		42.6		実測
2	5		42.2		実測(融合4頭)
2	6		41.4		実測(融合2頭)
2	7		43.2		実測
2	8		42.2		実測(融合4頭)
2	9		42.2		実測(融合4頭)
2	10		41.9		実測
3	1		43.0		実測
3	2		39.1		実測(融合2頭)
3	3		41.8		実測
3	4		39.1		実測(融合2頭)
3	5		41.3		実測(融合3頭)
3	6		41.0		実測(融合3頭)
3	7		41.6		実測
3	8		41.3		実測(融合3頭)
3	9		41.3		実測(融合3頭)
3	10		41.0		実測(融合3頭)
3	11		41.0		実測(融合3頭)
4	1		40.9		推定
4	2		40.5		推定
4	3		39.7		推定
4	4		39.6		推定
4	5		41.4		推定
4	6		41.1		推定
4	7		39.9		推定
4	8		40.0		推定
4	9		40.1		推定
4	10		41.8		推定
5	1		38.2		実測(融合2頭)
5	2		38.9		実測(融合5頭)
5	3		38.9		実測(融合5頭)
5	4		38.7		実測(融合2頭)
5	5		38.9		実測(融合5頭)
5	6		38.9		実測(融合5頭)
5	7		39.5		実測(融合2頭)
5	8		39.5		実測(融合2頭)
5	9		38.9		実測(融合5頭)
5	10		38.2		実測(融合2頭)
5	11		38.7		実測(融合2頭)
6	1		41.7		実測(融合6頭)
6	2		41.7		実測(融合6頭)
6	3		41.7		実測(融合6頭)
6	4		41.9		実測
6	5		40.6		実測(融合2頭)
6	6		41.7		実測(融合6頭)
6	7		41.7		実測(融合6頭)
6	8		40.6		実測(融合2頭)
6	9		41.7		実測(融合6頭)
6	10		41.0		実測
6	11		41.4		実測
7	1		42.7		推定
7	2		40.9		推定
7	3		41.7		推定
7	4		40.8		推定
7	5		40.6		推定
7	6		42.8		推定
7	7		40.8		推定
7	8		40.7		推定
7	9		40.5		推定
7	10		41.1		推定
8	1		41.3		推定
8	2		40.4		推定
8	3		41.4		推定
8	4		41.7		推定
8	5		40.5		推定
8	6		41.3		推定
8	7		40.9		推定
8	8		40.9		推定
8	9		40.8		推定
8	10		40.7		推定
9	1		39.7		推定
9	2		40.1		推定
9	3		40.7		推定
9	4		41.5		推定
9	5		42.6		推定
9	6		40.6		推定
9	7		42.0		推定
9	8		40.0		推定
9	9		41.8		推定
9	10		40.1		推定
10	1		42.1		実測
10	2		40.2		実測(融合3頭)
10	3		40.2		実測(融合3頭)
10	4		39.6		実測
10	5		41.9		実測
10	6		43.6		実測
10	7		39.3		実測
10	8		38.9		実測
10	9		40.2		実測(融合3頭)
10	10		39.8		実測
11	1		38.1		推定
11	2		40.3		推定
11	3		40.6		推定
11	4		40.2		推定
11	5		39.0		推定
11	6		38.2		推定
11	7		38.4		推定
11	8		39.5		推定
12	2		41.6		実測(融合5頭)
12	3		42.6		実測
12	4		43.6		実測
12	5		41.6		実測(融合5頭)
12	6		42.9		実測
12	7		41.6		実測(融合5頭)
12	8		41.6		実測(融合5頭)
12	9		41.6		実測(融合5頭)
12	10		42.3		実測(融合2頭)
12	11		42.3		実測(融合2頭)
