レース	馬番	馬名	前半3F	向正面	出自
1	1		40.4		推定
1	2		41.6		推定
1	3		40.6		推定
1	4		40.8		推定
1	5		41.1		推定
1	6		40.1		推定
1	7		40.1		推定
1	8		40.7		推定
1	9		41.9		推定
2	1		41.1		推定
2	2		43.0		推定
2	3		41.5		推定
2	4		41.8		推定
2	5		41.2		推定
2	6		42.1		推定
2	7		42.5		推定
2	8		41.9		推定
2	9		41.6		推定
2	10		43.2		推定
3	1		40.6		推定
3	2		40.2		推定
3	3		41.1		推定
3	4		40.5		推定
3	5		40.7		推定
3	6		41.4		推定
3	7		40.4		推定
3	9		40.5		推定
3	10		40.4		推定
4	1		39.6		実測(融合3頭)
4	2		40.9		実測(融合6頭)
4	3		40.9		実測(融合6頭)
4	4		40.9		実測(融合6頭)
4	5		40.9		実測(融合6頭)
4	6		40.9		実測(融合6頭)
4	7		41.3		実測
4	8		40.9		実測(融合6頭)
4	9		39.6		実測(融合3頭)
4	10		39.6		実測(融合3頭)
6	1		39.5		推定
6	2		40.3		推定
6	3		41.4		推定
6	4		40.6		推定
6	5		39.4		推定
6	6		41.6		推定
6	7		39.9		推定
6	8		39.7		推定
6	10		40.8		推定
7	1		40.9		実測(融合4頭)
7	2		41.5		実測(融合2頭)
7	3		41.5		実測(融合2頭)
7	4		40.9		実測(融合4頭)
7	5		40.9		実測(融合4頭)
7	6		42.0		実測
7	7		40.9		実測(融合4頭)
7	8		40.4		実測(融合2頭)
7	9		40.4		実測(融合2頭)
8	1		40.8		実測(融合2頭)
8	2		41.6		実測(融合4頭)
8	3		41.3		実測(融合3頭)
8	4		41.6		実測(融合4頭)
8	5		41.6		実測(融合4頭)
8	6		41.3		実測(融合3頭)
8	7		40.8		実測(融合2頭)
8	8		42.8		実測
8	9		42.4		実測
8	10		41.3		実測(融合3頭)
8	11		41.6		実測(融合4頭)
9	1		41.3		推定
9	2		41.7		推定
9	3		40.5		推定
9	4		39.7		推定
9	5		42.6		推定
9	6		41.0		推定
9	7		41.1		推定
9	8		39.4		推定
9	9		40.5		推定
9	10		39.7		推定
9	11		39.7		推定
10	1		40.3		推定
10	2		41.7		推定
10	3		40.5		推定
10	4		41.3		推定
10	5		41.3		推定
10	6		40.9		推定
10	7		42.2		推定
10	8		41.3		推定
10	9		40.5		推定
11	1		41.3		推定
11	2		40.3		推定
11	3		40.6		推定
11	4		40.3		推定
11	5		40.4		推定
11	6		41.1		推定
11	7		40.9		推定
11	8		39.3		推定
11	9		39.5		推定
12	1		39.8		推定
12	2		41.7		推定
12	3		39.0		推定
12	4		39.8		推定
12	5		39.9		推定
12	6		39.6		推定
12	7		41.5		推定
12	8		40.3		推定
12	9		41.4		推定
12	10		39.1		推定
12	11		40.8		推定
12	12		39.2		推定
