レース	馬番	馬名	前半3F	向正面	出自
1	1		41.3		実測
1	2		39.7		実測(融合4頭)
1	3		39.0		実測(融合3頭)
1	4		39.0		実測(融合3頭)
1	5		39.7		実測(融合4頭)
1	6		39.7		実測(融合4頭)
1	7		39.9		実測(融合2頭)
1	8		39.9		実測(融合2頭)
1	9		39.7		実測(融合4頭)
1	10		39.0		実測(融合3頭)
2	1		39.5		実測(融合4頭)
2	2		40.0		実測
2	3		39.5		実測(融合4頭)
2	4		39.8		実測(融合2頭)
2	5		38.8		実測(融合3頭)
2	6		39.8		実測(融合2頭)
2	7		39.5		実測(融合4頭)
2	8		39.5		実測(融合4頭)
2	9		38.8		実測(融合3頭)
2	10		38.8		実測(融合3頭)
3	1		37.7		推定
3	2		38.7		推定
3	3		38.8		推定
3	4		37.3		推定
3	5		38.1		推定
3	6		38.1		推定
3	7		39.0		推定
3	8		37.5		推定
4	1		39.0		実測(融合2頭)
4	2		40.1		実測
4	3		39.8		実測
4	4		40.5		実測(融合5頭)
4	5		39.0		実測(融合2頭)
4	6		40.5		実測(融合5頭)
4	7		40.5		実測(融合5頭)
4	8		40.5		実測(融合5頭)
4	9		40.5		実測(融合5頭)
4	10		39.5		実測
5	1		38.3		推定
5	2		38.8		推定
5	3		38.4		推定
5	4		38.9		推定
5	5		38.8		推定
5	6		39.8		推定
5	7		39.3		推定
5	8		38.7		推定
5	9		39.4		推定
5	10		38.4		推定
5	11		38.7		推定
6	1		38.6		推定
6	2		39.6		推定
6	3		39.4		推定
6	4		39.6		推定
6	5		38.9		推定
6	6		39.3		推定
6	8		39.5		推定
6	9		39.2		推定
6	10		38.7		推定
7	1		38.6		推定
7	2		39.3		推定
7	3		38.7		推定
7	4		39.3		推定
7	5		37.9		推定
7	6		39.1		推定
7	7		39.2		推定
7	8		38.6		推定
7	9		39.0		推定
8	1		38.0		推定
8	2		38.0		推定
8	3		37.4		推定
8	4		37.5		推定
8	5		37.5		推定
8	6		37.8		推定
8	7		38.2		推定
8	8		38.8		推定
8	9		37.6		推定
8	10		39.5		推定
8	11		38.5		推定
9	1		38.5		推定
9	2		40.1		推定
9	3		39.2		推定
9	4		38.8		推定
9	5		39.0		推定
9	6		38.9		推定
9	7		41.5		推定
9	8		39.2		推定
9	9		39.6		推定
9	10		39.0		推定
10	1		38.4		実測(融合2頭)
10	2		38.4		実測(融合2頭)
10	3		38.9		実測(融合3頭)
10	4		39.2		実測(融合3頭)
10	5		40.0		実測
10	6		39.5		実測(融合2頭)
10	7		38.9		実測(融合3頭)
10	8		38.9		実測(融合3頭)
10	9		40.4		実測
10	10		39.2		実測(融合3頭)
10	11		39.5		実測(融合2頭)
10	12		39.2		実測(融合3頭)
