レース	馬番	馬名	前半3F	向正面	出自
1	1		39.9		推定
1	2		39.4		推定
1	3		40.1		推定
1	4		40.6		推定
1	5		41.5		推定
1	6		40.3		推定
1	7		40.8		推定
1	8		40.4		推定
1	9		39.5		推定
1	10		40.8		推定
1	11		40.5		推定
1	12		39.4		推定
2	1		38.5		推定
2	2		40.1		推定
2	3		40.0		推定
2	4		39.4		推定
2	5		39.5		推定
2	6		40.0		推定
2	7		39.5		推定
2	8		40.5		推定
2	9		39.5		推定
2	10		38.2		推定
2	11		38.4		推定
2	12		39.0		推定
3	1		39.7		実測(融合4頭)
3	2		39.7		実測(融合4頭)
3	3		38.9		実測(融合2頭)
3	4		39.3		実測(融合2頭)
3	5		40.4		実測
3	6		40.2		実測
3	7		39.7		実測(融合4頭)
3	8		39.7		実測(融合4頭)
3	9		39.3		実測(融合2頭)
3	10		38.9		実測(融合2頭)
4	1		40.1		実測
4	2		38.6		実測(融合2頭)
4	3		38.6		実測(融合2頭)
4	4		40.0		実測
4	5		40.5		実測
4	6		39.0		実測
4	7		39.6		実測
4	8		38.1		実測
5	1		38.8		推定
5	2		41.0		推定
5	3		37.5		推定
5	4		39.0		推定
5	5		39.8		推定
5	6		40.2		推定
5	7		38.6		推定
5	8		37.9		推定
5	9		37.8		推定
5	10		38.9		推定
5	11		39.0		推定
5	12		38.6		推定
6	1		40.4		実測(融合3頭)
6	3		41.0		実測(融合2頭)
6	4		40.4		実測(融合3頭)
6	5		41.0		実測(融合2頭)
6	6		40.4		実測(融合3頭)
6	7		41.1		実測(融合2頭)
6	8		41.4		実測
6	9		41.1		実測(融合2頭)
7	1		38.9		実測(融合2頭)
7	2		38.9		実測(融合2頭)
7	3		41.4		実測
7	4		40.0		実測(融合3頭)
7	5		39.4		実測(融合5頭)
7	6		39.4		実測(融合5頭)
7	7		39.4		実測(融合5頭)
7	8		39.4		実測(融合5頭)
7	9		40.7		実測
7	10		40.0		実測(融合3頭)
7	11		40.0		実測(融合3頭)
7	12		39.4		実測(融合5頭)
8	1		38.4		実測
8	2		39.2		実測(融合5頭)
8	3		39.2		実測(融合5頭)
8	4		40.3		実測
8	5		39.2		実測(融合5頭)
8	6		39.2		実測(融合5頭)
8	7		38.8		実測(融合3頭)
8	8		38.8		実測(融合3頭)
8	9		39.2		実測(融合5頭)
8	10		38.8		実測(融合3頭)
10	1		39.0		実測(融合4頭)
10	2		39.6		実測
10	3		39.9		実測
10	4		39.0		実測(融合4頭)
10	5		39.5		実測(融合3頭)
10	6		39.8		実測
10	7		38.5		実測(融合2頭)
10	8		39.0		実測(融合4頭)
10	9		38.5		実測(融合2頭)
10	10		39.5		実測(融合3頭)
10	11		39.5		実測(融合3頭)
10	12		39.0		実測(融合4頭)
