レース	馬番	馬名	前半3F	向正面	出自
1	2		40.2		実測(融合3頭)
1	3		39.6		実測(融合3頭)
1	4		40.8		実測
1	5		39.6		実測(融合3頭)
1	6		40.2		実測(融合3頭)
1	7		39.6		実測(融合3頭)
1	8		40.5		実測(融合2頭)
1	9		40.5		実測(融合2頭)
1	10		40.2		実測(融合3頭)
2	1		40.0		実測(融合3頭)
2	2		41.3		実測
2	3		39.5		実測(融合2頭)
2	4		40.2		実測(融合3頭)
2	5		40.2		実測(融合3頭)
2	6		40.6		実測(融合2頭)
2	8		40.6		実測(融合2頭)
2	9		40.0		実測(融合3頭)
2	10		40.2		実測(融合3頭)
2	11		39.5		実測(融合2頭)
2	12		40.0		実測(融合3頭)
3	1		39.2		実測(融合2頭)
3	2		39.2		実測(融合2頭)
3	3		40.5		実測
3	4		39.9		実測(融合3頭)
3	5		39.9		実測(融合3頭)
3	6		40.2		実測(融合2頭)
3	7		39.6		実測(融合2頭)
3	8		40.2		実測(融合2頭)
3	9		39.6		実測(融合2頭)
3	10		39.9		実測(融合3頭)
4	1		40.2		実測
4	2		43.4		実測(融合2頭)
4	3		40.7		実測
4	4		41.9		実測(融合2頭)
4	5		43.4		実測(融合2頭)
4	6		43.9		実測
4	7		41.9		実測(融合2頭)
4	8		44.3		実測
5	2		41.1		実測(融合3頭)
5	3		41.1		実測(融合3頭)
5	4		40.8		実測(融合3頭)
5	5		41.4		実測
5	6		40.8		実測(融合3頭)
5	7		40.3		実測(融合2頭)
5	8		40.8		実測(融合3頭)
5	9		41.1		実測(融合3頭)
5	10		40.3		実測(融合2頭)
6	1		40.2		実測(融合6頭)
6	2		39.6		実測
6	3		41.9		実測
6	4		40.2		実測(融合6頭)
6	5		41.1		実測(融合2頭)
6	6		40.0		実測(融合2頭)
6	7		40.0		実測(融合2頭)
6	8		40.2		実測(融合6頭)
6	9		40.2		実測(融合6頭)
6	10		40.2		実測(融合6頭)
6	11		41.1		実測(融合2頭)
6	12		40.2		実測(融合6頭)
7	1		40.5		実測(融合3頭)
7	2		39.6		実測
7	3		40.7		実測(融合2頭)
7	4		41.0		実測
7	5		41.3		実測
7	6		40.5		実測(融合3頭)
7	7		40.7		実測(融合2頭)
7	8		42.2		実測
7	9		40.2		実測
7	10		40.5		実測(融合3頭)
7	11		40.0		実測
8	1		38.8		推定
8	2		39.5		推定
8	4		39.8		推定
8	5		39.5		推定
8	7		40.5		推定
8	8		39.8		推定
9	1		39.5		実測(融合2頭)
9	2		40.1		実測(融合5頭)
9	3		40.1		実測(融合5頭)
9	4		40.1		実測(融合5頭)
9	5		40.6		実測(融合3頭)
9	6		39.5		実測(融合2頭)
9	7		40.1		実測(融合5頭)
9	8		40.6		実測(融合3頭)
9	9		40.1		実測(融合5頭)
9	10		40.6		実測(融合3頭)
9	11		41.8		実測
9	12		40.9		実測
