レース	馬番	馬名	前半3F	向正面
1	1		40.0	
1	2		40.6	
1	3		40.6	
1	4		40.4	
1	5		40.7	
1	6		40.4	
1	7		40.5	
1	8		41.0	
1	9		40.2	
1	10		40.0	
2	1		39.9	
2	2		39.7	
2	3		40.3	
2	4		40.1	
2	5		39.1	
2	6		39.4	
2	7		40.5	
2	8		41.1	
2	9		39.3	
3	1		38.7	内
3	2		39.4	外2
3	3		39.7	外2
3	4		40.0	外2
3	5		38.9	
3	6		40.1	外2
3	7		38.8	
3	8		38.3	
3	9		39.7	
3	10		38.5	
4	1		39.1	
4	2		40.0	
4	3		40.2	
4	4		40.6	
4	5		39.4	
4	6		39.6	
4	7		39.7	
4	8		38.9	
4	9		39.1	
4	10		39.4	
5	1		40.0	
5	2		39.2	
5	3		40.1	
5	4		38.6	
5	5		39.0	
5	6		40.0	
5	7		39.3	
5	8		39.0	
5	9		40.5	
5	10		39.8	
5	11		41.6	
6	1		40.4	
6	2		39.1	
6	3		39.8	
6	4		39.1	
6	5		39.7	
6	6		39.8	
6	7		39.5	
6	8		40.3	
6	9		39.5	
7	1		37.8	
7	2		38.5	
7	3		38.9	
7	4		39.5	
7	5		39.2	
7	6		38.0	
7	7		38.0	
7	8		38.5	
7	9		38.0	
7	10		37.9	
8	1		39.1	
8	2		39.0	
8	3		39.4	
8	4		39.9	
8	6		39.1	
8	7		40.7	
8	8		39.8	
8	9		40.3	
8	10		40.1	
9	1		39.2	
9	2		39.3	
9	3		39.7	
9	4		39.5	
9	5		39.8	
9	6		39.0	
9	7		39.6	
9	8		39.3	
10	1		38.1	
10	2		39.4	
10	3		38.1	
10	4		39.7	
10	5		37.8	
10	6		39.4	
10	7		39.2	
10	8		39.0	
10	9		38.6	
10	10		37.9	
11	1		39.9	
11	2		38.7	
11	3		38.3	
11	4		39.3	
11	5		39.5	
11	6		37.8	
11	7		39.0	
11	8		39.5	
11	9		39.0	
11	10		37.9	
11	11		38.4	
