レース	馬番	馬名	前半3F	向正面	出自
1	1		42.4		推定
1	2		39.9		推定
1	3		39.6		推定
1	4		40.1		推定
1	5		40.8		推定
1	6		40.2		推定
1	7		39.5		推定
1	8		40.2		推定
1	9		39.5		推定
1	10		42.9		推定
2	1		41.5		推定
2	2		40.5		推定
2	3		40.2		推定
2	4		41.0		推定
2	5		40.8		推定
2	6		40.8		推定
2	7		40.0		推定
2	8		41.4		推定
2	9		40.5		推定
3	1		39.5		推定
3	2		40.6		推定
3	3		40.4		推定
3	4		39.1		推定
3	5		39.5		推定
3	6		40.0		推定
3	7		40.4		推定
3	8		40.6		推定
4	1		38.7		推定
4	2		38.0		推定
4	3		38.5		推定
4	4		41.8		推定
4	5		40.7		推定
4	7		41.0		推定
4	8		39.0		推定
4	9		40.1		推定
5	1		40.7		実測
5	2		38.7		実測
5	3		40.9		実測
5	4		39.0		実測(融合4頭)
5	5		39.0		実測(融合4頭)
5	6		40.3		実測
5	7		39.0		実測(融合4頭)
5	8		39.0		実測(融合4頭)
5	9		40.8		実測
5	10		39.9		実測
6	1		39.9		推定
6	2		42.2		推定
6	3		40.6		推定
6	4		39.6		推定
6	5		41.3		推定
6	6		39.4		推定
6	7		40.8		推定
6	8		40.9		推定
6	9		39.1		推定
7	2		40.6		推定
7	3		40.7		推定
7	4		39.9		推定
7	5		41.7		推定
7	6		40.4		推定
7	7		41.7		推定
7	8		39.7		推定
7	9		39.7		推定
8	1		39.2		推定
8	2		39.1		推定
8	3		39.8		推定
8	4		40.6		推定
8	5		40.1		推定
8	6		39.0		推定
8	7		39.4		推定
8	9		39.1		推定
9	1		39.7		実測
9	2		40.4		実測(融合4頭)
9	3		40.4		実測(融合4頭)
9	4		40.4		実測(融合4頭)
9	5		40.0		実測(融合2頭)
9	6		40.4		実測(融合4頭)
9	7		40.0		実測(融合2頭)
9	8		40.2		実測
9	9		40.9		実測(融合2頭)
9	10		40.9		実測(融合2頭)
10	1		40.9		推定
10	2		40.5		推定
10	3		41.1		推定
10	4		41.4		推定
10	5		40.8		推定
10	6		40.4		推定
10	7		41.1		推定
10	8		40.9		推定
10	9		40.9		推定
10	10		40.9		推定
10	11		40.6		推定
10	12		40.4		推定
