レース	馬番	馬名	前半3F	向正面	出自
1	1		42.0		推定
1	2		40.5		推定
1	3		41.3		推定
1	4		41.7		推定
1	5		39.6		推定
1	6		41.4		推定
1	7		41.1		推定
1	8		38.9		推定
1	9		39.9		推定
2	1		40.5		実測(融合5頭)
2	2		40.5		実測(融合5頭)
2	3		40.5		実測(融合5頭)
2	4		41.6		実測
2	5		40.5		実測(融合5頭)
2	6		39.9		実測(融合2頭)
2	7		42.1		実測
2	8		41.2		実測
2	9		40.5		実測(融合5頭)
2	10		39.9		実測(融合2頭)
3	1		39.3		実測(融合4頭)
3	2		40.3		実測
3	3		40.0		実測
3	4		40.5		実測
3	5		39.3		実測(融合4頭)
3	6		38.9		実測
3	7		39.3		実測(融合4頭)
3	8		39.3		実測(融合4頭)
4	1		40.4		推定
4	2		41.8		推定
4	3		41.4		推定
4	4		41.2		推定
4	5		42.0		推定
4	6		40.9		推定
4	7		41.9		推定
4	8		40.6		推定
5	1		38.9		推定
5	2		42.5		推定
5	3		41.5		推定
5	4		38.9		推定
5	5		40.6		推定
5	7		40.7		推定
5	8		42.3		推定
5	9		39.7		推定
5	10		41.9		推定
6	1		41.1		推定
6	2		41.8		推定
6	3		42.5		推定
6	4		40.8		推定
6	5		42.2		推定
6	6		40.9		推定
7	1		38.9		推定
7	2		39.3		推定
7	3		38.9		推定
7	4		39.5		推定
7	5		39.7		推定
7	6		39.5		推定
8	1		39.0		推定
8	2		40.1		推定
8	3		39.2		推定
8	4		39.9		推定
8	5		39.4		推定
8	6		39.6		推定
8	7		40.7		推定
8	8		40.0		推定
8	9		39.6		推定
9	2		39.4		推定
9	3		40.1		推定
9	4		38.5		推定
9	5		40.2		推定
9	6		39.5		推定
9	7		38.3		推定
9	8		39.3		推定
9	9		40.5		推定
9	10		38.5		推定
9	11		40.3		推定
9	12		39.2		推定
