レース	馬番	馬名	前半3F	向正面	出自
1	1		40.3		推定
1	2		41.3		推定
1	3		39.7		推定
1	4		40.7		推定
1	5		38.5		推定
1	6		40.5		推定
1	7		40.6		推定
1	8		39.8		推定
1	9		38.6		推定
1	10		38.7		推定
2	1		38.5		推定
2	2		38.9		推定
2	3		38.8		推定
2	4		38.9		推定
2	5		39.6		推定
2	6		40.2		推定
2	7		40.5		推定
2	8		40.6		推定
2	9		39.8		推定
3	1		41.9		実測
3	2		40.4		実測(融合4頭)
3	3		39.9		実測(融合4頭)
3	4		39.9		実測(融合4頭)
3	5		39.9		実測(融合4頭)
3	6		40.4		実測(融合4頭)
3	7		40.4		実測(融合4頭)
3	8		40.4		実測(融合4頭)
3	9		39.9		実測(融合4頭)
3	10		39.5		実測
4	1		39.7		実測(融合4頭)
4	2		39.7		実測(融合4頭)
4	3		40.6		実測(融合4頭)
4	4		40.6		実測(融合4頭)
4	5		40.6		実測(融合4頭)
4	6		39.7		実測(融合4頭)
4	7		39.7		実測(融合4頭)
4	8		40.6		実測(融合4頭)
4	9		41.6		実測
4	10		41.0		実測
5	1		40.2		実測(融合2頭)
5	2		39.9		実測(融合2頭)
5	3		39.3		実測
5	4		39.6		実測
5	5		41.2		実測
5	6		40.6		実測(融合3頭)
5	7		40.2		実測(融合2頭)
5	8		40.6		実測(融合3頭)
5	9		41.0		実測
5	10		39.9		実測(融合2頭)
5	11		40.6		実測(融合3頭)
6	1		38.9		実測(融合2頭)
6	2		39.8		実測(融合3頭)
6	3		39.3		実測(融合3頭)
6	4		39.8		実測(融合3頭)
6	5		39.8		実測(融合3頭)
6	6		39.3		実測(融合3頭)
6	7		38.9		実測(融合2頭)
6	8		39.3		実測(融合3頭)
6	9		40.0		実測
7	1		37.8		実測(融合4頭)
7	2		39.7		実測(融合2頭)
7	3		37.8		実測(融合4頭)
7	4		37.8		実測(融合4頭)
7	5		39.7		実測(融合2頭)
7	6		37.8		実測(融合4頭)
7	7		38.7		実測
8	1		40.5		実測
8	2		39.3		実測
8	4		38.4		実測
8	5		38.9		実測(融合2頭)
8	6		39.7		実測(融合2頭)
8	7		41.1		実測
8	8		41.0		実測
8	9		39.7		実測(融合2頭)
8	10		40.4		実測
8	11		38.9		実測(融合2頭)
9	1		38.1		実測
9	2		38.5		実測(融合5頭)
9	3		38.5		実測(融合5頭)
9	4		39.4		実測
9	5		39.0		実測(融合2頭)
9	6		40.2		実測
9	7		39.9		実測
9	8		38.5		実測(融合5頭)
9	9		39.0		実測(融合2頭)
9	10		38.5		実測(融合5頭)
9	11		38.5		実測(融合5頭)
10	1		41.9		実測
10	2		40.9		実測
10	3		39.0		実測(融合6頭)
10	4		39.0		実測(融合6頭)
10	5		40.3		実測
10	6		39.0		実測(融合6頭)
10	7		39.0		実測(融合6頭)
10	8		41.5		実測
10	9		39.0		実測(融合6頭)
10	10		39.0		実測(融合6頭)
10	11		40.6		実測
