レース	馬番	馬名	前半3F	向正面	出自
1	1		39.9		実測(融合4頭)
1	2		39.1		実測(融合3頭)
1	3		39.9		実測(融合4頭)
1	4		40.6		実測
1	5		39.9		実測(融合4頭)
1	6		39.1		実測(融合3頭)
1	7		39.9		実測(融合4頭)
1	8		39.1		実測(融合3頭)
1	9		40.3		実測
3	1		38.3		実測(融合2頭)
3	2		39.1		実測(融合3頭)
3	3		39.1		実測(融合3頭)
3	4		39.5		実測
3	5		38.7		実測(融合2頭)
3	6		39.1		実測(融合3頭)
3	7		39.3		実測(融合2頭)
3	8		38.3		実測(融合2頭)
3	9		38.7		実測(融合2頭)
3	10		39.3		実測(融合2頭)
4	1		39.0		実測(融合4頭)
4	2		39.8		実測(融合4頭)
4	3		40.2		実測
4	4		39.8		実測(融合4頭)
4	5		39.8		実測(融合4頭)
4	6		39.0		実測(融合4頭)
4	7		39.8		実測(融合4頭)
4	8		39.0		実測(融合4頭)
4	9		39.0		実測(融合4頭)
5	1		42.0		推定
5	2		40.8		推定
5	3		40.8		推定
5	4		40.8		推定
5	5		38.3		推定
5	6		39.2		推定
5	7		40.2		推定
5	8		38.9		推定
5	9		41.0		推定
5	10		39.0		推定
5	11		38.8		推定
6	1		39.1		推定
6	2		38.9		推定
6	3		39.4		推定
6	4		38.8		推定
6	5		38.6		推定
6	6		39.5		推定
6	7		39.6		推定
6	8		39.5		推定
7	1		39.5		推定
7	2		40.3		推定
7	4		39.9		推定
7	6		40.7		推定
7	7		39.8		推定
7	8		39.5		推定
8	1		39.6		推定
8	2		39.5		推定
8	3		40.7		推定
8	4		39.3		推定
8	5		39.3		推定
8	7		40.5		推定
8	8		39.4		推定
9	1		39.8		実測(融合2頭)
9	2		39.3		実測(融合4頭)
9	3		38.5		実測
9	4		39.3		実測(融合4頭)
9	5		39.3		実測(融合4頭)
9	6		39.8		実測(融合2頭)
9	7		38.8		実測(融合2頭)
9	8		39.3		実測(融合4頭)
9	9		38.8		実測(融合2頭)
10	1		39.3		推定
10	2		39.4		推定
10	3		38.9		推定
10	4		39.6		推定
10	5		38.3		推定
10	6		38.6		推定
10	7		39.4		推定
10	8		39.4		推定
10	9		38.1		推定
10	10		38.3		推定
10	11		38.2		推定
