レース	馬番	馬名	前半3F	向正面	出自
1	1		37.9		実測(融合2頭)
1	2		39.0		実測
1	3		39.6		実測
1	4		38.6		実測(融合2頭)
1	5		38.5		実測(融合3頭)
1	6		38.5		実測(融合3頭)
1	7		38.5		実測(融合3頭)
1	8		37.9		実測(融合2頭)
1	9		38.6		実測(融合2頭)
2	1		38.8		推定
2	2		38.0		推定
2	3		38.2		推定
2	4		37.9		推定
2	5		37.8		推定
2	6		37.5		推定
2	7		38.0		推定
2	8		38.9		推定
2	9		37.5		推定
2	10		38.9		推定
3	1		40.0		実測(融合2頭)
3	4		38.8		実測(融合2頭)
3	5		39.4		実測(融合3頭)
3	6		39.6		実測(融合3頭)
3	7		39.6		実測(融合3頭)
3	8		38.8		実測(融合2頭)
3	9		40.0		実測(融合2頭)
3	10		39.6		実測(融合3頭)
3	11		39.4		実測(融合3頭)
3	12		39.4		実測(融合3頭)
4	1		40.9		推定
4	2		37.0		推定
4	3		40.1		推定
4	4		38.3		推定
4	5		39.1		推定
4	6		39.0		推定
4	7		37.2		推定
4	8		37.4		推定
4	9		39.7		推定
4	10		38.6		推定
4	11		37.6		推定
5	1		37.1		推定
5	2		39.5		推定
5	3		38.5		推定
5	4		38.6		推定
5	5		38.0		推定
5	6		38.2		推定
5	7		39.8		推定
5	8		38.6		推定
5	9		39.9		推定
5	10		37.5		推定
5	11		38.1		推定
5	12		37.6		推定
6	1		38.4		推定
6	2		39.4		推定
6	3		38.6		推定
6	4		38.0		推定
6	5		39.0		推定
6	6		38.9		推定
6	7		38.1		推定
6	9		39.0		推定
6	11		38.4		推定
7	1		38.1		実測(融合2頭)
7	3		38.1		実測(融合2頭)
7	4		38.3		実測
7	5		37.1		実測(融合3頭)
7	6		38.2		実測
7	7		37.9		実測(融合4頭)
7	8		37.9		実測(融合4頭)
7	9		37.9		実測(融合4頭)
7	10		37.9		実測(融合4頭)
7	11		37.1		実測(融合3頭)
7	12		37.1		実測(融合3頭)
8	1		38.4		推定
8	2		38.2		推定
8	3		38.9		推定
8	4		38.1		推定
8	5		38.6		推定
8	6		39.3		推定
8	7		40.2		推定
8	8		38.8		推定
8	9		38.6		推定
8	10		38.4		推定
8	11		38.1		推定
8	12		38.3		推定
