レース	馬番	馬名	前半3F	向正面	出自
1	1		39.6		推定
1	2		40.4		推定
1	3		40.7		推定
1	4		40.0		推定
1	5		39.2		推定
1	6		39.0		推定
1	7		38.8		推定
1	8		40.3		推定
1	9		38.9		推定
1	10		38.4		推定
2	1		40.5		実測(融合4頭)
2	2		41.9		実測
2	3		40.9		実測
2	4		40.1		実測(融合3頭)
2	5		40.1		実測(融合3頭)
2	6		40.5		実測(融合4頭)
2	7		40.1		実測(融合3頭)
2	8		40.5		実測(融合4頭)
2	9		40.5		実測(融合4頭)
2	10		39.7		実測
3	1		39.4		実測(融合3頭)
3	2		39.4		実測(融合3頭)
3	3		40.1		実測
3	4		39.7		実測(融合2頭)
3	5		38.9		実測(融合2頭)
3	6		39.7		実測(融合2頭)
3	7		39.9		実測
3	8		39.4		実測(融合3頭)
3	9		38.9		実測(融合2頭)
4	2		40.8		実測
4	3		41.1		実測
4	4		39.2		実測(融合2頭)
4	5		38.7		実測
4	6		39.5		実測(融合3頭)
4	7		39.2		実測(融合2頭)
4	8		39.5		実測(融合3頭)
4	9		39.5		実測(融合3頭)
4	10		39.1		実測(融合2頭)
4	11		39.1		実測(融合2頭)
5	1		38.2		実測(融合5頭)
5	2		39.4		実測(融合6頭)
5	3		39.4		実測(融合6頭)
5	4		39.4		実測(融合6頭)
5	5		39.6		実測
5	6		38.2		実測(融合5頭)
5	7		38.2		実測(融合5頭)
5	8		39.4		実測(融合6頭)
5	9		39.4		実測(融合6頭)
5	10		39.4		実測(融合6頭)
5	11		38.2		実測(融合5頭)
5	12		38.2		実測(融合5頭)
6	1		42.4		実測(融合3頭)
6	2		41.6		実測(融合2頭)
6	3		41.9		実測(融合2頭)
6	4		42.4		実測(融合3頭)
6	5		42.1		実測(融合3頭)
6	6		41.9		実測(融合2頭)
6	7		41.2		実測(融合2頭)
6	8		42.4		実測(融合3頭)
6	9		42.1		実測(融合3頭)
6	10		42.1		実測(融合3頭)
6	11		41.2		実測(融合2頭)
6	12		41.6		実測(融合2頭)
7	1		39.1		推定
7	2		38.5		推定
7	3		39.7		推定
7	4		38.6		推定
7	5		39.4		推定
7	6		41.0		推定
7	7		39.2		推定
7	8		39.0		推定
7	9		40.7		推定
7	10		39.5		推定
7	11		40.5		推定
8	1		42.2		推定
8	2		39.2		推定
8	3		39.9		推定
8	4		39.9		推定
8	5		39.4		推定
8	6		38.6		推定
8	7		39.7		推定
8	8		39.7		推定
8	9		38.5		推定
8	10		39.2		推定
8	11		38.8		推定
8	12		39.4		推定
9	1		41.8		実測
9	2		40.2		実測(融合2頭)
9	3		39.7		実測(融合2頭)
9	4		40.5		実測(融合2頭)
9	5		40.5		実測(融合2頭)
9	6		40.0		実測(融合3頭)
9	7		39.7		実測(融合2頭)
9	8		40.0		実測(融合3頭)
9	9		40.2		実測(融合2頭)
9	10		39.3		実測(融合2頭)
9	11		40.0		実測(融合3頭)
9	12		39.3		実測(融合2頭)
10	1		39.6		推定
10	2		38.7		推定
10	3		38.8		推定
10	4		39.7		推定
10	5		38.0		推定
10	6		40.9		推定
10	7		39.7		推定
10	8		40.5		推定
10	9		38.2		推定
10	10		41.6		推定
10	11		38.7		推定
10	12		39.0		推定
11	1		42.3		推定
11	3		42.0		推定
11	4		41.7		推定
11	5		42.6		推定
11	6		41.9		推定
11	7		41.7		推定
11	8		42.2		推定
11	9		41.7		推定
11	10		41.9		推定
12	1		40.1		推定
12	2		38.5		推定
12	3		38.1		推定
12	4		38.3		推定
12	5		39.9		推定
12	6		38.8		推定
12	7		39.3		推定
12	8		39.3		推定
12	9		39.2		推定
12	10		39.7		推定
12	11		38.2		推定
12	12		38.7		推定
