レース	馬番	馬名	前半3F	向正面	出自
1	1		39.9		推定
1	2		43.1		推定
1	3		39.9		推定
1	4		41.5		推定
1	5		40.9		推定
1	6		41.1		推定
1	7		41.1		推定
1	8		40.0		推定
1	9		40.8		推定
1	10		40.4		推定
2	1		41.3		実測(融合2頭)
2	2		40.4		実測(融合2頭)
2	3		40.9		実測(融合4頭)
2	4		40.9		実測(融合4頭)
2	5		40.9		実測(融合4頭)
2	6		40.9		実測(融合4頭)
2	7		41.4		実測
2	8		41.3		実測(融合2頭)
2	9		41.6		実測
2	11		40.4		実測(融合2頭)
2	12		42.0		実測
3	1		40.8		推定
3	2		40.7		推定
3	3		40.9		推定
3	4		40.4		推定
3	5		41.6		推定
3	6		39.9		推定
3	7		41.3		推定
3	8		41.0		推定
3	9		40.5		推定
3	10		39.9		推定
4	1		42.3		推定
4	2		42.7		推定
4	3		41.4		推定
4	4		42.2		推定
4	5		41.7		推定
4	6		40.9		推定
4	7		40.9		推定
4	8		40.6		推定
4	9		41.2		推定
4	10		41.4		推定
4	11		41.0		推定
4	12		40.6		推定
5	1		41.5		実測(融合2頭)
5	2		41.5		実測(融合2頭)
5	3		41.2		実測
5	4		40.8		実測(融合2頭)
5	5		40.8		実測(融合2頭)
5	6		42.1		実測
5	7		43.0		実測
6	1		40.9		実測(融合3頭)
6	2		40.9		実測(融合3頭)
6	3		41.3		実測
6	4		40.9		実測(融合3頭)
6	5		40.2		実測(融合2頭)
6	6		41.5		実測
6	7		40.2		実測(融合2頭)
6	8		42.1		実測
7	1		39.9		推定
7	2		40.0		推定
7	3		39.4		推定
7	4		40.8		推定
7	5		38.9		推定
7	6		40.2		推定
7	7		38.8		推定
8	1		40.6		推定
8	2		40.4		推定
8	3		40.8		推定
8	4		40.3		推定
8	5		40.8		推定
8	6		40.2		推定
8	7		39.8		推定
8	8		40.1		推定
9	1		41.6		推定
9	2		41.9		推定
9	3		41.7		推定
9	4		41.1		推定
9	5		41.0		推定
9	6		40.9		推定
9	7		40.7		推定
9	8		41.7		推定
9	9		41.5		推定
9	10		40.8		推定
9	11		42.3		推定
