レース	馬番	馬名	前半3F	向正面	出自
1	1		42.5		実測(融合5頭)
1	2		41.8		実測(融合4頭)
1	3		42.5		実測(融合5頭)
1	4		42.8		実測
1	5		41.3		実測(融合2頭)
1	6		41.3		実測(融合2頭)
1	7		41.8		実測(融合4頭)
1	8		42.5		実測(融合5頭)
1	9		41.8		実測(融合4頭)
1	10		41.8		実測(融合4頭)
1	11		42.5		実測(融合5頭)
1	12		42.5		実測(融合5頭)
2	1		40.8		実測(融合2頭)
2	2		41.0		実測
2	3		40.1		実測(融合2頭)
2	4		40.1		実測(融合2頭)
2	5		40.5		実測(融合2頭)
2	6		41.5		実測
2	8		40.5		実測(融合2頭)
2	9		40.8		実測(融合2頭)
3	1		41.1		実測(融合4頭)
3	2		42.3		実測
3	4		42.8		実測
3	5		42.0		実測(融合4頭)
3	6		42.0		実測(融合4頭)
3	7		41.1		実測(融合4頭)
3	8		41.1		実測(融合4頭)
3	9		42.0		実測(融合4頭)
3	10		41.1		実測(融合4頭)
3	11		42.0		実測(融合4頭)
4	1		41.0		実測(融合2頭)
4	2		40.6		実測(融合2頭)
4	3		40.8		実測(融合2頭)
4	4		40.4		実測(融合2頭)
4	5		42.0		実測
4	6		40.4		実測(融合2頭)
4	7		41.0		実測(融合2頭)
4	8		40.8		実測(融合2頭)
4	9		41.3		実測
4	10		40.6		実測(融合2頭)
4	11		39.9		実測(融合2頭)
4	12		39.9		実測(融合2頭)
5	1		39.5		実測
5	2		40.0		実測(融合2頭)
5	3		40.0		実測(融合2頭)
5	4		40.2		実測
5	7		39.7		実測(融合3頭)
5	8		39.7		実測(融合3頭)
5	9		39.1		実測(融合2頭)
5	10		39.7		実測(融合3頭)
5	11		39.1		実測(融合2頭)
6	1		43.3		実測
6	2		42.5		実測(融合2頭)
6	3		42.2		実測
6	4		42.6		実測(融合3頭)
6	5		41.9		実測(融合2頭)
6	6		41.9		実測(融合2頭)
6	7		42.6		実測(融合3頭)
6	8		42.6		実測(融合3頭)
6	9		42.4		実測
6	10		42.5		実測(融合2頭)
7	1		40.5		実測(融合2頭)
7	2		42.9		実測(融合3頭)
7	3		42.9		実測(融合3頭)
7	4		43.2		実測(融合2頭)
7	5		43.2		実測(融合2頭)
7	6		42.9		実測(融合3頭)
7	7		40.5		実測(融合2頭)
7	8		40.1		実測
8	1		42.4		実測(融合2頭)
8	2		41.9		実測(融合3頭)
8	3		41.9		実測(融合3頭)
8	4		41.9		実測(融合3頭)
8	5		41.4		実測
8	6		42.4		実測(融合2頭)
8	7		41.8		実測(融合2頭)
8	8		41.8		実測(融合2頭)
9	1		44.3		実測
9	2		42.8		実測
9	3		42.6		実測(融合3頭)
9	4		41.3		実測
9	5		42.0		実測(融合4頭)
9	6		42.4		実測
9	7		42.0		実測(融合4頭)
9	8		42.0		実測(融合4頭)
9	9		42.6		実測(融合3頭)
9	10		42.0		実測(融合4頭)
9	11		42.6		実測(融合3頭)
