レース	馬番	馬名	前半3F	向正面	出自
1	1		41.5		実測(融合4頭)
1	2		41.5		実測(融合4頭)
1	3		40.9		実測(融合3頭)
1	4		42.1		実測
1	5		41.5		実測(融合4頭)
1	6		42.0		実測
1	7		40.9		実測(融合3頭)
1	8		42.3		実測
1	9		41.5		実測(融合4頭)
1	10		40.9		実測(融合3頭)
2	1		41.1		実測(融合3頭)
2	2		41.8		実測(融合2頭)
2	3		41.5		実測(融合3頭)
2	4		41.0		実測(融合2頭)
2	5		41.8		実測(融合2頭)
2	6		41.5		実測(融合3頭)
2	7		40.6		実測
2	8		41.5		実測(融合3頭)
2	9		41.1		実測(融合3頭)
2	10		41.0		実測(融合2頭)
2	11		42.4		実測
2	12		41.1		実測(融合3頭)
3	1		40.9		実測(融合2頭)
3	2		40.2		実測
3	3		41.0		実測(融合2頭)
3	4		40.6		実測(融合2頭)
3	5		40.6		実測(融合2頭)
3	6		40.9		実測(融合2頭)
3	7		40.5		実測
3	8		41.0		実測(融合2頭)
3	9		41.3		実測(融合2頭)
3	10		41.3		実測(融合2頭)
5	1		42.7		推定
5	2		40.5		推定
5	3		42.1		推定
5	4		41.8		推定
5	5		41.2		推定
5	6		41.5		推定
5	7		40.8		推定
5	8		40.4		推定
5	9		41.6		推定
5	10		42.1		推定
5	11		40.2		推定
6	1		41.0		実測(融合2頭)
6	2		41.2		実測(融合2頭)
6	3		42.0		実測
6	4		41.2		実測(融合2頭)
6	5		41.3		実測(融合2頭)
6	6		40.5		実測(融合2頭)
6	7		41.6		実測
6	8		41.0		実測(融合2頭)
6	9		41.3		実測(融合2頭)
6	10		40.5		実測(融合2頭)
7	1		39.9		実測(融合5頭)
7	2		39.9		実測(融合5頭)
7	3		39.9		実測(融合5頭)
7	4		39.4		実測(融合2頭)
7	5		40.7		実測(融合2頭)
7	6		40.7		実測(融合2頭)
7	7		41.2		実測
7	8		39.4		実測(融合2頭)
7	9		41.0		実測
7	10		39.9		実測(融合5頭)
7	11		39.9		実測(融合5頭)
8	1		39.9		実測(融合4頭)
8	2		39.9		実測(融合4頭)
8	3		38.9		実測(融合4頭)
8	4		38.9		実測(融合4頭)
8	5		38.9		実測(融合4頭)
8	6		38.9		実測(融合4頭)
8	7		39.9		実測(融合4頭)
8	8		39.9		実測(融合4頭)
8	9		40.2		実測
9	1		40.8		推定
9	2		40.9		推定
9	3		40.3		推定
9	4		40.5		推定
9	5		40.1		推定
9	6		41.3		推定
9	7		39.8		推定
9	8		40.0		推定
9	9		41.1		推定
9	10		41.9		推定
9	11		40.6		推定
9	12		40.6		推定
