レース	馬番	馬名	前半3F	向正面	出自
1	1		42.8		推定
1	2		41.0		推定
1	3		41.1		推定
1	4		40.8		推定
1	5		41.1		推定
1	6		43.0		推定
1	7		43.1		推定
1	8		40.8		推定
1	9		43.0		推定
1	10		41.4		推定
1	11		40.9		推定
2	2		41.9		推定
2	3		40.0		推定
2	4		41.0		推定
2	5		40.5		推定
2	6		40.0		推定
2	7		39.5		推定
2	8		42.5		推定
2	9		41.0		推定
2	10		39.9		推定
3	1		41.4		推定
3	2		40.0		推定
3	3		40.5		推定
3	4		39.8		推定
3	5		40.0		推定
3	6		41.0		推定
3	7		40.0		推定
3	8		40.2		推定
4	1		39.6		推定
4	2		39.8		推定
4	3		39.9		推定
4	4		40.8		推定
4	5		40.8		推定
4	6		38.4		推定
4	7		38.7		推定
4	8		40.3		推定
4	9		38.8		推定
5	1		42.5		推定
5	2		42.2		推定
5	3		39.9		推定
5	4		39.6		推定
5	5		42.2		推定
5	6		40.5		推定
5	7		39.9		推定
5	8		39.8		推定
5	9		43.5		推定
5	10		39.8		推定
5	11		40.9		推定
6	1		40.9		推定
6	2		40.4		推定
6	3		40.6		推定
6	4		41.3		推定
6	5		40.1		推定
6	6		40.6		推定
6	7		40.7		推定
6	8		40.2		推定
7	1		41.6		推定
7	2		41.1		推定
7	4		39.8		推定
7	5		41.2		推定
7	6		39.8		推定
7	7		40.4		推定
7	8		40.9		推定
7	9		40.1		推定
8	1		39.5		推定
8	2		38.5		推定
8	3		38.6		推定
8	4		38.0		推定
8	5		37.4		推定
8	6		38.2		推定
8	7		38.5		推定
8	8		38.9		推定
8	9		37.5		推定
8	10		37.8		推定
8	11		37.5		推定
9	1		38.9		実測(融合2頭)
9	2		38.4		実測(融合2頭)
9	3		39.1		実測(融合2頭)
9	4		38.4		実測(融合2頭)
9	5		39.1		実測(融合2頭)
9	6		39.9		実測
9	7		39.5		実測
9	8		38.9		実測(融合2頭)
10	1		38.7		実測(融合2頭)
10	2		39.5		実測(融合2頭)
10	3		39.2		実測(融合3頭)
10	4		38.7		実測(融合2頭)
10	5		39.2		実測(融合3頭)
10	6		39.9		実測
10	7		39.2		実測(融合3頭)
10	8		39.5		実測(融合2頭)
11	1		39.9		実測
11	2		38.9		実測(融合3頭)
11	3		38.9		実測(融合3頭)
11	4		39.2		実測(融合2頭)
11	5		39.6		実測
11	6		38.9		実測(融合3頭)
11	7		39.2		実測(融合2頭)
11	8		38.5		実測
12	1		39.0		推定
12	2		40.0		推定
12	3		40.6		推定
12	4		39.8		推定
12	5		40.2		推定
12	6		40.4		推定
12	7		40.5		推定
12	8		41.1		推定
12	9		40.6		推定
12	10		40.4		推定
12	11		41.0		推定
12	12		38.8		推定
