レース	馬番	馬名	前半3F	向正面	出自
1	1		41.0		推定
1	2		41.4		推定
1	3		40.5		推定
1	4		41.6		推定
1	5		41.5		推定
1	6		41.3		推定
1	7		41.9		推定
1	8		40.8		推定
1	9		39.8		推定
1	10		41.3		推定
1	11		40.1		推定
2	1		39.3		推定
2	2		39.6		推定
2	3		39.6		推定
2	4		42.2		推定
2	5		41.7		推定
2	6		38.9		推定
2	7		39.9		推定
2	8		40.1		推定
2	9		41.8		推定
2	10		41.0		推定
2	11		38.9		推定
2	12		40.8		推定
3	1		40.1		推定
3	2		40.0		推定
3	3		39.2		推定
3	4		40.5		推定
3	5		40.8		推定
3	6		40.0		推定
3	7		40.8		推定
3	8		39.8		推定
3	9		39.4		推定
3	10		39.6		推定
3	11		40.2		推定
4	1		41.6		実測(融合2頭)
4	2		41.2		実測(融合2頭)
4	3		41.6		実測(融合2頭)
4	4		41.2		実測(融合2頭)
4	5		40.5		実測(融合2頭)
4	6		40.5		実測(融合2頭)
4	7		42.2		実測(融合3頭)
4	8		42.2		実測(融合3頭)
4	9		42.6		実測
4	10		40.2		実測
4	11		42.2		実測(融合3頭)
5	1		41.0		推定
5	2		40.5		推定
5	3		41.0		推定
5	4		40.0		推定
5	5		40.1		推定
5	6		39.8		推定
5	7		39.9		推定
5	8		40.8		推定
5	9		40.0		推定
5	10		40.8		推定
6	1		41.0		実測(融合3頭)
6	2		41.6		実測(融合3頭)
6	3		41.0		実測(融合3頭)
6	4		42.6		実測
6	5		42.0		実測(融合3頭)
6	6		42.0		実測(融合3頭)
6	7		41.6		実測(融合3頭)
6	8		42.3		実測
6	9		42.0		実測(融合3頭)
6	10		41.0		実測(融合3頭)
6	11		41.6		実測(融合3頭)
7	1		39.9		実測(融合4頭)
7	2		40.8		実測(融合4頭)
7	3		39.9		実測(融合4頭)
7	4		40.8		実測(融合4頭)
7	5		41.0		実測
7	6		40.8		実測(融合4頭)
7	7		40.8		実測(融合4頭)
7	9		39.9		実測(融合4頭)
8	1		38.2		実測(融合2頭)
8	2		39.3		実測(融合4頭)
8	3		39.3		実測(融合4頭)
8	4		38.9		実測
8	5		41.3		実測
8	6		39.0		実測(融合2頭)
8	7		39.3		実測(融合4頭)
8	8		41.5		実測
8	9		39.0		実測(融合2頭)
8	10		41.1		実測
8	11		38.2		実測(融合2頭)
8	12		39.3		実測(融合4頭)
9	1		39.4		実測(融合4頭)
9	2		40.4		実測(融合4頭)
9	3		40.4		実測(融合4頭)
9	4		40.4		実測(融合4頭)
9	5		39.4		実測(融合4頭)
9	6		39.4		実測(融合4頭)
9	7		40.5		実測(融合2頭)
9	8		40.5		実測(融合2頭)
9	9		41.0		実測
9	10		40.4		実測(融合4頭)
9	11		39.4		実測(融合4頭)
10	1		40.8		実測
10	2		39.3		実測(融合4頭)
10	3		39.3		実測(融合4頭)
10	4		39.3		実測(融合4頭)
10	5		38.8		実測(融合2頭)
10	6		40.2		実測
10	7		41.1		実測
10	8		41.7		実測
10	9		38.8		実測(融合2頭)
10	10		39.3		実測(融合4頭)
11	2		40.5		実測(融合5頭)
11	3		41.1		実測
11	4		40.8		実測
11	5		40.5		実測(融合5頭)
11	6		39.5		実測(融合4頭)
11	7		40.5		実測(融合5頭)
11	8		40.5		実測(融合5頭)
11	9		39.5		実測(融合4頭)
11	10		40.5		実測(融合5頭)
11	11		39.5		実測(融合4頭)
11	12		39.5		実測(融合4頭)
