レース	馬番	馬名	前半3F	向正面	出自
1	1		43.0		実測
1	2		41.2		実測(融合3頭)
1	3		41.6		実測
1	4		41.2		実測(融合3頭)
1	5		42.2		実測(融合2頭)
1	6		43.6		実測
1	7		42.2		実測(融合2頭)
1	8		41.8		実測
1	9		41.2		実測(融合3頭)
2	1		43.5		実測(融合2頭)
2	2		44.1		実測
2	3		43.6		実測(融合2頭)
2	4		43.0		実測(融合2頭)
2	5		43.6		実測(融合2頭)
2	6		43.4		実測(融合2頭)
2	7		43.5		実測(融合2頭)
2	8		43.0		実測(融合2頭)
2	9		43.4		実測(融合2頭)
3	1		40.6		推定
3	2		40.6		推定
3	3		42.0		推定
3	4		42.4		推定
3	5		42.9		推定
3	6		43.7		推定
3	7		41.2		推定
3	8		43.2		推定
3	10		41.2		推定
4	1		38.9		実測(融合3頭)
4	2		38.4		実測(融合2頭)
4	3		38.9		実測(融合3頭)
4	4		39.3		実測(融合4頭)
4	5		39.6		実測
4	6		39.3		実測(融合4頭)
4	7		39.3		実測(融合4頭)
4	8		39.3		実測(融合4頭)
4	10		39.9		実測
4	11		38.9		実測(融合3頭)
4	12		38.4		実測(融合2頭)
5	1		38.9		推定
5	2		42.5		推定
5	3		39.9		推定
5	4		38.5		推定
5	5		38.6		推定
5	6		40.4		推定
5	7		39.5		推定
5	8		38.8		推定
5	9		40.5		推定
6	1		39.0		推定
6	2		39.5		推定
6	3		39.6		推定
6	4		39.1		推定
6	5		39.7		推定
6	6		40.1		推定
6	7		40.3		推定
6	8		40.1		推定
6	9		39.1		推定
6	10		40.1		推定
7	1		39.5		推定
7	2		39.4		推定
7	3		38.5		推定
7	4		39.5		推定
7	5		40.0		推定
7	6		39.1		推定
7	7		40.8		推定
7	8		39.9		推定
7	9		39.2		推定
7	10		40.0		推定
7	11		38.9		推定
8	1		39.0		推定
8	2		38.4		推定
8	3		39.2		推定
8	4		39.5		推定
8	5		39.5		推定
8	6		38.5		推定
8	7		38.9		推定
8	8		38.9		推定
8	9		39.6		推定
9	1		38.2		推定
9	2		38.5		推定
9	3		39.0		推定
9	4		40.2		推定
9	5		40.1		推定
9	6		39.2		推定
9	7		39.2		推定
9	8		41.0		推定
9	9		39.5		推定
9	10		38.5		推定
10	1		38.4		推定
10	2		39.1		推定
10	3		38.2		推定
10	4		39.0		推定
10	5		38.5		推定
10	6		38.1		推定
10	7		38.8		推定
10	8		39.0		推定
11	1		37.8		推定
11	2		41.1		推定
11	3		38.8		推定
11	4		37.9		推定
11	5		41.4		推定
11	6		38.6		推定
11	7		39.8		推定
11	8		39.1		推定
11	9		39.5		推定
11	10		39.5		推定
11	11		38.2		推定
11	12		38.9		推定
