レース	馬番	馬名	前半3F	向正面	出自
1	1		40.0		実測(旧)
1	2		40.8		実測(旧)
1	3		41.5		実測(旧)
1	4		40.8		実測(旧)
1	5		41.8		実測(旧)
1	6		41.7		実測(旧)
1	7		41.2		実測(旧)
1	8		41.1		実測(旧)
1	9		40.4		実測(旧)
1	10		39.5		実測(旧)
1	11		39.7		実測(旧)
2	1		38.8		実測(旧)
2	2		40.1		実測(旧)
2	4		39.0		実測(旧)
2	5		40.1		実測(旧)
2	6		40.7		実測(旧)
2	7		39.5		実測(旧)
2	8		39.5		実測(旧)
2	9		40.4		実測(旧)
2	10		39.1		実測(旧)
2	11		39.5		実測(旧)
2	12		39.2		実測(旧)
3	1		42.2		実測(旧)
3	2		40.9		実測(旧)
3	3		40.3		実測(旧)
3	4		41.4		実測(旧)
3	5		40.7		実測(旧)
3	6		41.7		実測(旧)
3	7		41.5		実測(旧)
3	8		41.7		実測(旧)
3	9		41.3		実測(旧)
4	1		40.4		実測(旧)
4	2		39.9		実測(旧)
4	3		39.5		実測(旧)
4	4		39.7		実測(旧)
4	5		40.1		実測(旧)
4	6		40.4		実測(旧)
4	7		40.6		実測(旧)
4	8		41.4		実測(旧)
4	9		40.6		実測(旧)
4	10		41.3		実測(旧)
5	1		39.2		実測(旧)
5	2		39.9		実測(旧)
5	3		41.8		実測(旧)
5	4		39.4		実測(旧)
5	5		40.1		実測(旧)
5	6		39.8		実測(旧)
5	7		39.6		実測(旧)
5	8		39.6		実測(旧)
5	9		40.3		実測(旧)
5	10		40.7		実測(旧)
5	11		39.0		実測(旧)
6	1		42.9		推定
6	2		42.7		推定
6	3		42.2		推定
6	4		43.1		推定
6	5		43.7		推定
6	6		42.8		推定
6	7		42.2		推定
6	8		43.3		推定
6	9		42.6		推定
6	10		43.7		推定
6	11		42.7		推定
6	12		43.4		推定
7	1		39.4		実測(旧)
7	2		40.9		実測(旧)
7	3		39.5		実測(旧)
7	4		40.2		実測(旧)
7	5		41.9		実測(旧)
7	6		40.7		実測(旧)
7	7		40.9		実測(旧)
7	8		40.0		実測(旧)
8	1		40.1		実測(旧)
8	2		40.6		実測(旧)
8	3		39.5		実測(旧)
8	4		39.5		実測(旧)
8	5		41.1		実測(旧)
8	6		40.5		実測(旧)
8	7		39.2		実測(旧)
8	8		39.6		実測(旧)
8	9		39.8		実測(旧)
8	10		39.3		実測(旧)
8	12		39.2		実測(旧)
9	1		39.3		実測(旧)
9	2		39.0		実測(旧)
9	3		39.7		実測(旧)
9	4		40.3		実測(旧)
9	5		39.1		実測(旧)
9	6		39.7		実測(旧)
9	7		40.4		実測(旧)
9	8		40.0		実測(旧)
9	9		39.3		実測(旧)
10	1		39.4		実測(旧)
10	2		39.9		実測(旧)
10	3		40.4		実測(旧)
10	4		41.1		実測(旧)
10	5		40.8		実測(旧)
10	6		40.5		実測(旧)
10	7		39.3		実測(旧)
10	8		40.4		実測(旧)
11	1		39.5		実測(旧)
11	2		40.2		実測(旧)
11	3		39.0		実測(旧)
11	4		38.8		実測(旧)
11	5		39.6		実測(旧)
11	6		39.5		実測(旧)
11	7		40.3		実測(旧)
11	8		40.0		実測(旧)
11	9		38.0		実測(旧)
11	10		38.2		実測(旧)
11	11		39.1		実測(旧)
11	12		38.8		実測(旧)
